sentence_id;token_position;token;lemma;pos;morphology;dependency_relation;head_token;entity_type
9;20;letto;letto;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};nsubj;erano;O
9;21;e;e;CCONJ;{};cc;tavolo;O
9;22;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;tavolo;O
9;23;tavolo;tavolo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};conj;letto;O
9;24;con;con;ADP;{};case;libraccio;O
9;25;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;libraccio;O
9;26;gran;grande;ADJ;{'Number': 'Sing'};amod;libraccio;O
9;27;libraccio;libraccio;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};nmod;tavolo;O
9;28;d';di;ADP;{};case;astrologia;O
9;29;astrologia;astrologia;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};nmod;libraccio;O
9;31;e;e;CCONJ;{};cc;penna;O
9;32;penna;penno;ADJ;{'Gender': 'Fem', 'Number': 'Sing'};conj;libraccio;O
9;33;carta;carta;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};compound;penna;O
9;34;e;e;CCONJ;{};cc;calamaio;O
9;35;calamaio;calamaio;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};conj;carta;LOC
10;0;gambara;gambara;PROPN;{};nsubj;sedette;LOC
10;1;si;si;PRON;{'Clitic': 'Yes', 'Person': '3', 'PronType': 'Prs'};expl;sedette;O
10;2;sedette;sedere;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;sedette;O
10;3;al;a il;ADP;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};case;tavolo;O
10;4;tavolo;tavolo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;sedette;O
10;5;e;e;CCONJ;{};cc;cominciò;O
10;6;cominciò;cominciare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};conj;sedette;O
10;7;a;a;ADP;{};mark;scartabellare;O
10;8;scartabellare;scartabellare;VERB;{'VerbForm': 'Inf'};xcomp;cominciò;O
10;9;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;libro;O
10;10;libro;libro;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obj;scartabellare;O
10;11;senza;senza;ADP;{};mark;capirci;O
10;12;capirci;capire ci;VERB;{'Clitic': 'Yes', 'PronType': 'Prs', 'VerbForm': 'Inf'};xcomp;cominciò;O
10;13;niente;niente;PRON;{'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Ind'};obj;capirci;O
10;14;e;e;CCONJ;{};cc;farci;O
10;15;a;a;ADP;{};mark;farci;O
10;16;farci;fare ci;AUX;{'Clitic': 'Yes', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'VerbForm': 'Inf'};conj;niente;O
10;17;dei;di il;ADP;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'};case;segni;O
10;18;segni;segno;NOUN;{'Gender': 'Masc', 'Number': 'Plur'};nmod;niente;O
10;19;con;con;ADP;{};case;penna;O
10;20;la;il;DET;{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'};det;penna;O
10;21;penna;penna;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obl;capirci;O
11;0;siccome;siccome;SCONJ;{};mark;sapeva;O
11;1;non;non;ADV;{'PronType': 'Neg'};advmod;sapeva;O
11;2;sapeva;sapere;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};advcl;fecero;O
11;3;scrivere;scrivere;VERB;{'VerbForm': 'Inf'};xcomp;sapeva;O
11;5;venivano;venire;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};conj;sapeva;O
11;6;fuori;fuori;ADV;{};case;segni;O
11;7;dei;di il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'};det;segni;O
11;8;segni;segno;NOUN;{'Gender': 'Masc', 'Number': 'Plur'};obl;venivano;O
11;9;ben;bene;ADV;{};advmod;strani;O
11;10;strani;strano;ADJ;{'Gender': 'Masc', 'Number': 'Plur'};amod;segni;O
11;12;e;e;CCONJ;{};cc;servi;O
11;13;i;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'};det;servi;O
11;14;servi;servo;NOUN;{'Gender': 'Masc', 'Number': 'Plur'};conj;sapeva;O
11;15;che;che;PRON;{'PronType': 'Rel'};nsubj;entravano;O
11;16;entravano;entrare;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};acl:relcl;servi;O
11;17;due;due;NUM;{'NumType': 'Card'};nummod;volte;O
11;18;volte;volta;NOUN;{'Gender': 'Fem', 'Number': 'Plur'};obl;entravano;O
11;19;al;a il;ADP;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};case;giorno;O
11;20;giorno;giorno;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;entravano;O
11;21;a;a;ADP;{};mark;portargli;O
11;22;portargli;portare lo;VERB;{'Clitic': 'Yes', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'VerbForm': 'Inf'};xcomp;entravano;O
11;23;da;da;ADP;{};mark;mangiare;O
11;24;mangiare;mangiare;VERB;{'VerbForm': 'Inf'};xcomp;portargli;O
11;26;si;si;PRON;{'Clitic': 'Yes', 'Person': '3', 'PronType': 'Prs'};expl;fecero;O
11;27;fecero;fare;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;fecero;O
11;28;l';il;DET;{'Definite': 'Def', 'Number': 'Sing', 'PronType': 'Art'};det;idea;O
11;29;idea;idea;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obj;fecero;O
11;30;che;che;SCONJ;{};mark;astrologo;O
11;31;fosse;essere;AUX;{'Mood': 'Sub', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};cop;astrologo;O
11;32;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;astrologo;O
11;33;astrologo;astrologo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};advcl;idea;O
