ph1,ph2,ph3,probability
t,i,J,0.002356637863315004
t,i,ŋ,0.007698350353495679
t,i,o,0.0018853102906520032
t,i,u,0.00015710919088766692
t,i,ttS,0.007855459544383346
t,i,ts,0.00015710919088766692
t,i,JJ,0.0009426551453260016
t,i,ddZ,0.0004713275726630008
t,i,tt,0.0004713275726630008
t,i,ff,0.00015710919088766692
t,i,nn,0.0012568735271013354
t,i,pp,0.00015710919088766692
t,i,rr,0.0007855459544383347
i,n,i,0.14288585209003216
i,n,a,0.2266881028938907
i,n,o,0.13484726688102894
i,n,d,0.06481109324758842
i,n,e,0.08360128617363344
i,n,j,0.01487138263665595
i,n,E,0.013364147909967846
i,n,t,0.13404340836012862
i,n,s,0.050944533762057875
i,n,O,0.009143890675241158
i,n,u,0.01678054662379421
i,n,f,0.05436093247588424
i,n,oo,0.00010048231511254019
i,n,v,0.04330787781350482
i,n,w,0.0029139871382636655
i,n,ee,0.0006028938906752412
i,n,tz,0.0012057877813504824
i,n,uu,0.00010048231511254019
i,n,ii,0.00020096463022508038
i,n,l,0.0003014469453376206
i,n,m,0.00010048231511254019
i,n,ts,0.0037178456591639873
i,n,b,0.00020096463022508038
i,n,z,0.0003014469453376206
i,n,dz,0.00040192926045016077
i,n,p,0.00010048231511254019
i,n,g,0.00010048231511254019
a,bb,a,0.3161290322580645
a,bb,e,0.043010752688172046
a,bb,E,0.012903225806451613
a,bb,i,0.07956989247311828
a,bb,j,0.13548387096774195
a,bb,o,0.12043010752688173
a,bb,O,0.015053763440860216
a,bb,r,0.24731182795698925
a,bb,u,0.025806451612903226
a,bb,w,0.004301075268817204
bb,a,kk,0.01764705882352941
bb,a,tS,0.0058823529411764705
bb,a,d,0.011764705882352941
bb,a,LL,0.06470588235294118
bb,a,JJ,0.011764705882352941
bb,a,j,0.041176470588235294
bb,a,i,0.011764705882352941
bb,a,n,0.3
bb,a,r,0.07058823529411765
bb,a,s,0.01764705882352941
bb,a,ss,0.17058823529411765
bb,a,t,0.07647058823529412
bb,a,tt,0.1411764705882353
bb,a,tts,0.01764705882352941
bb,a,v,0.011764705882352941
bb,a,l,0.029411764705882353
a,kk,j,0.09768976897689768
a,kk,a,0.2508250825082508
a,kk,i,0.050825082508250824
a,kk,o,0.29240924092409243
a,kk,l,0.011221122112211221
a,kk,O,0.06006600660066007
a,kk,r,0.017161716171617162
a,kk,u,0.058745874587458745
a,kk,w,0.10363036303630363
a,kk,E,0.005940594059405941
a,kk,e,0.05148514851485148
kk,j,a,0.5778210116731517
kk,j,o,0.1828793774319066
kk,j,O,0.023346303501945526
kk,j,E,0.054474708171206226
kk,j,e,0.122568093385214
kk,j,u,0.038910505836575876
j,a,t,0.1591160220994475
j,a,n,0.22674033149171272
j,a,r,0.11314917127071823
j,a,v,0.03292817679558011
j,a,m,0.176353591160221
j,a,tts,0.024530386740331492
j,a,pp,0.0061878453038674034
j,a,tS,0.02033149171270718
j,a,l,0.08397790055248619
j,a,ŋ,0.023425414364640886
j,a,ttS,0.013480662983425415
j,a,s,0.012375690607734807
j,a,mm,0.009944751381215469
j,a,tt,0.012375690607734807
j,a,k,0.010828729281767955
j,a,nn,0.00287292817679558
j,a,ɡ,0.005082872928176795
j,a,JJ,0.003977900552486188
j,a,b,0.011712707182320443
j,a,d,0.004198895027624309
j,a,f,0.0011049723756906078
j,a,ddz,0.0004419889502762431
j,a,kk,0.009060773480662983
j,a,dZ,0.0017679558011049724
j,a,ddZ,0.003977900552486188
j,a,S,0.0004419889502762431
j,a,z,0.003977900552486188
j,a,i,0.0035359116022099448
j,a,ss,0.006850828729281768
j,a,e,0.00022099447513812155
j,a,j,0.002430939226519337
j,a,J,0.0066298342541436465
j,a,p,0.0017679558011049724
j,a,ll,0.0017679558011049724
j,a,vv,0.00022099447513812155
j,a,ff,0.0022099447513812156
a,tS,i,0.40392706872370265
a,tS,a,0.0785413744740533
a,tS,e,0.33520336605890605
a,tS,E,0.12342215988779803
a,tS,u,0.03225806451612903
a,tS,o,0.012622720897615708
a,tS,O,0.0070126227208976155
a,tS,ee,0.0070126227208976155
tS,i,n,0.17696754112939084
tS,i,l,0.05558025789239662
tS,i,k,0.044019564250778125
tS,i,d,0.08003557136505113
tS,i,p,0.07914628723877279
tS,i,r,0.062249888839484215
tS,i,t,0.15073365940417963
tS,i,S,0.0013339261894175188
tS,i,s,0.06847487772343264
tS,i,v,0.026678523788350377
tS,i,b,0.017785682525566917
tS,i,kk,0.004891062694530902
tS,i,ss,0.004001778568252557
tS,i,tts,0.005780346820809248
tS,i,ll,0.013783903957314362
tS,i,ɡ,0.0026678523788350376
tS,i,JJ,0.005335704757670075
tS,i,m,0.040017785682525564
tS,i,LL,0.005335704757670075
tS,i,z,0.021787461093819474
tS,i,f,0.03334815473543797
tS,i,ŋ,0.048465984882169855
tS,i,ttS,0.005335704757670075
tS,i,tS,0.0031124944419742106
tS,i,mm,0.00044464206313917296
tS,i,J,0.006224988883948421
tS,i,nn,0.0013339261894175188
tS,i,tt,0.008892841262783458
tS,i,pp,0.0013339261894175188
tS,i,rr,0.0017785682525566918
tS,i,ddz,0.020898176967541128
