,E,J,JJ,L,LL,O,S,Z,a,aa,b,bb,bv,d,dZ,dd,ddZ,ddz,dz,e,ee,f,ff,g,i,ii,j,k,kk,l,ll,m,mm,n,nn,o,oo,p,pp,r,rr,s,ss,t,tS,ts,tt,ttS,tts,tz,u,uu,v,vv,w,z,ŋ,ɡ,ɡ:,EE
mm,0.043478260869565216,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.2587991718426501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18012422360248448,0.0,0.0,0.0,0.0,0.19599723947550035,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525879917184265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033126293995859216,0.0,0.0,0.0,0.006901311249137336,0.0,0.0,0.0,0.0,
n,0.013699476741790614,0.0,0.0,2.060071690494829e-05,0.0,0.009229121173416835,0.0,0.0,0.12160603188990977,0.0,0.00016480573523958633,0.0,0.0,0.1331836347904907,0.0,0.0,0.0,0.0,0.0027604960652630713,0.10883358740884183,0.000494417205718759,0.022145770672819413,0.0,2.060071690494829e-05,0.11423097523793828,6.180215071484488e-05,0.013699476741790614,2.060071690494829e-05,0.0,0.0002678093197643278,0.0,0.00012360430142968975,0.0,0.0,0.0,0.14296897532034114,2.060071690494829e-05,0.00020600716904948293,0.0,0.00039141362119401757,0.0,0.03341436281982613,0.0,0.22277615261011083,0.0,0.018726051666597996,0.0,0.0,0.0,0.009146718305797042,0.012484034444398665,2.060071690494829e-05,0.014523505417988546,0.0,0.0020188702566849327,0.0027398953483581227,0.0,0.0,0.0,
nn,0.022292993630573247,0.0,0.0,0.0,0.0,0.01910828025477707,0.0,0.0,0.20063694267515925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17038216560509553,0.0,0.0,0.0,0.0,0.11199575371549894,0.0005307855626326964,0.020169851380042462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386411889596603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06528662420382166,0.0,0.0,0.0,0.0031847133757961785,0.0,0.0,0.0,0.0,
o,0.0006703807300214984,0.009223514182019927,0.003952934649437112,0.0,0.007027439376777087,9.24663075891722e-05,0.005201229801890936,0.0,0.003837351764950646,0.0,0.008506900298203841,0.002334774266626598,0.0,0.020250121362028712,0.007536004068517534,0.0008321967683025497,0.003166971034929148,0.0006934973069187914,0.0,0.0018030929979888578,0.0,0.009524029681684736,0.00492383087912342,0.0,0.004299683302896507,2.311657689729305e-05,0.0034906031114912504,0.01978778982408285,0.011650754756235697,0.1243671837074366,0.013546314061813726,0.059617651818118775,0.006333942069858296,0.25296470098707785,0.002820222381469752,0.0,0.0,0.025358884856330473,0.006125892877782658,0.1515753947155505,0.012644767562819298,0.056589380244573384,0.009131047874430755,0.024850320164590028,0.013754363253889365,0.0,0.018516378094731733,0.0026352897662914074,0.004345916456691093,2.311657689729305e-05,0.0001386994613837583,0.0,0.02799417462262188,0.0022423079590374257,2.311657689729305e-05,0.03349591992417763,0.00811391849094986,0.013823712984581243,0.0001386994613837583,
oo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.28205128205128205,0.0,0.5128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p,0.027741497309440467,0.0,0.0,0.0,0.0,0.02000940389739303,0.0,0.0,0.19675043101196385,0.0,0.0,0.0,0.0,0.0002089754976229037,0.0,0.0,0.0,0.0,0.0,0.166031032861397,0.0,0.0,0.0,0.0,0.10673423541089808,0.0002612193720286296,0.050415338801525524,0.0,0.0,0.0336450551172875,0.0,0.0,0.0,0.0012538529857374222,0.0,0.137819340682305,5.224387440572593e-05,0.0,0.0,0.20730369364192047,0.0,0.007209654667990178,0.0,0.0031868763387492816,0.0,0.0,0.0,0.0,0.0,0.0002612193720286296,0.04043675879003187,0.0,5.224387440572593e-05,0.0,0.00047019486965153335,0.00010448774881145185,0.0,0.0,0.0,5.224387440572593e-05
pp,0.011968880909634948,0.0,0.0,0.0,0.0,0.03052064631956912,0.0,0.0,0.25673249551166966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11430281268701377,0.0,0.0,0.0,0.0,0.06822262118491922,0.0,0.0921603830041891,0.0,0.0,0.052663076002393776,0.0,0.0,0.0,0.0,0.0,0.1813285457809695,0.0,0.0,0.0,0.15858767205266308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033512866546977854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
r,0.027103501995008505,6.358592843403754e-05,0.0,0.0036879838491741777,4.768944632552816e-05,0.016913856963453988,0.0,0.0,0.2020442875991543,1.5896482108509386e-05,0.009553785747214142,0.0,0.0,0.019997774492504807,0.007042141574069658,0.0,0.0,0.0,0.00044510149903826285,0.15979143815473637,0.0004927909453637909,0.002511644173144483,0.0,1.5896482108509386e-05,0.19268125963724228,0.00019075778530211265,0.029646939132370008,0.014179662040790374,0.0,0.03552863751251848,0.0,0.02955156023971895,0.0,0.019536776511358038,0.0,0.09808129460950292,3.179296421701877e-05,0.006104249129667605,0.0,0.0,0.0,0.030235108970384852,0.0,0.038485383184701225,0.012717185686807509,0.003036228082725293,0.0,0.0,0.0,0.001271718568680751,0.01918705390497083,0.0,0.011318295261258684,0.0,0.0005086874274723004,0.0010491678191616196,0.0,0.006930866199310093,0.0,
rr,0.07572280862781092,0.0,0.0,0.0,0.0,0.02294630564479119,0.0,0.0,0.26112895823772375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223955943093162,0.0004589261128958238,0.0,0.0,0.0,0.20789352914180817,0.0,0.016521340064249657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505277650298302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03579623680587425,0.0,0.0,0.0,0.005048187241854061,0.0,0.0,0.0,0.0,
s,0.008564790734768889,0.0,0.0,0.0,0.0,0.007247130621727522,6.935053226533514e-05,0.0,0.06792884635389576,0.00013870106453067028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07299143520926524,3.467526613266757e-05,0.024099309962203958,0.0,3.467526613266757e-05,0.17462464024411387,3.467526613266757e-05,0.0,0.1363084711675162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07670168868546066,0.0,0.09681334304240785,0.0,0.0,0.0,0.0,0.0,0.28385172856201674,0.0,0.0,0.0,0.0,0.0,0.0,0.03772668955234231,0.0,0.012829848469087,0.0,0.0,0.0,0.0,0.0,0.0,
ss,0.01890359168241966,0.0,0.0,0.0,0.0,0.015542953161100609,0.0,0.0,0.20016803192606594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29972694812014283,0.00021003990758244065,0.0,0.0,0.0,0.2442764125183785,0.0,0.06112161310649023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11888258769166142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031295946229783655,0.0,0.0,0.0,0.009871875656374712,0.0,0.0,0.0,0.0,
t,0.02185074860860704,0.0,0.0,0.0,0.0,0.01581484675080348,0.0,0.0,0.23036372187818452,1.9597083953907657e-05,9.79854197695383e-05,0.0,0.0,3.9194167907815315e-05,0.0,0.0,0.0,0.0,0.0,0.19099318021478404,3.9194167907815315e-05,9.79854197695383e-05,0.0,0.0,0.22350474249431684,0.0001959708395390766,0.006800188132005958,0.00015677667163126126,0.0,0.0007054950223406757,0.0,0.0006467037704789528,0.0,0.000627106686525045,0.0,0.15950066630085444,0.0,1.9597083953907657e-05,0.0,0.11017480598886886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035921454887512735,0.0,1.9597083953907657e-05,0.0,0.002410441326330642,0.0,0.0,0.0,0.0,
tS,0.09176319176319177,0.0,0.0,0.0,0.0,0.005662805662805663,0.0,0.0,0.11312741312741313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796653796653797,0.0007722007722007722,0.0,0.0,0.0,0.4756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02651222651222651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006821106821106821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ts,0.008456659619450317,0.0,0.0,0.0,0.0,0.021141649048625793,0.0,0.0,0.5447498238195913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1952078928823115,0.0,0.0,0.0,0.0,0.09866102889358704,0.0007047216349541931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09725158562367865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014094432699083862,0.0,0.0,0.0,0.0,0.0,0.0,0.03241719520789288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tt,0.027597402597402596,0.0,0.0,0.0,0.0,0.011216056670602124,0.0,0.0,0.253099173553719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17694805194805194,0.00014757969303423848,0.0,0.0,0.0,0.2392266824085006,0.00044273907910271547,0.015200708382526565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18226092089728455,0.0,0.0,0.0,0.041174734356552535,0.0,0.00029515938606847696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04073199527744982,0.0,0.0,0.0,0.011658795749704841,0.0,0.0,0.0,0.0,
ttS,0.05054811205846529,0.0,0.0,0.0,0.0,0.02192448233861145,0.0,0.0,0.3294762484774665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21193666260657734,0.0,0.0,0.0,0.0,0.2095006090133983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656516443361754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010353227771010963,0.0,0.0,0.0,0.0006090133982947625,0.0,0.0,0.0,0.0,
tts,0.003028185418122525,0.0,0.0,0.0,0.0,0.009783368273934312,0.0,0.0,0.18308874912648498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04472396925227114,0.0,0.0,0.0,0.0,0.0880503144654088,0.0,0.6116934544607501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528767761472164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004425809457255998,0.0,0.0,0.0,0.0023293733985557887,0.0,0.0,0.0,0.0,
