BEGIN,semantic_dissimilarity,type_of_words,word
4483206.0,0.3187542259693146,content,piedi
4502610.0,0.3360084891319275,content,chiamò
4515840.0,0.3227303028106689,function,la
4522014.0,0.4876881837844848,content,servitù
4545387.0,0.3109471201896667,function,e
4548033.0,0.4029938578605652,content,disse
4591162.0,0.4906327724456787,function,Quest'
,0.4580079913139343,function,essere
4623444.0,0.3558236360549927,function,non
4630059.0,0.3496344089508056,function,è
4635792.0,0.4526463747024536,function,più
4643730.0,0.4107720851898193,function,mio
4653873.0,0.3801977038383484,content,figlio
4686948.0,0.3582375645637512,function,io
4691799.0,0.2976203560829162,function,lo
4696209.0,0.4307401478290558,content,scaccio
4720464.0,0.2753872275352478,function,e
4721787.0,0.3833171129226684,function,vi
4728843.0,0.3674843907356262,content,ordino
4742514.0,0.3130469918251037,function,di
4748247.0,0.3247449994087219,content,condurlo
4768533.0,0.3662351369857788,function,nel
4778235.0,0.4410744905471802,content,bosco
4796316.0,0.3060409426689148,function,e
4798521.0,0.2930359244346618,function,di
4803372.0,0.4227850139141083,content,ucciderlo
4877019.0,0.4153021574020386,function,Essi
4887603.0,0.2825980186462402,function,lo
4891572.0,0.3647825419902801,content,presero
4909653.0,0.2800739407539367,function,e
4910976.0,0.2694811224937439,function,lo
4916709.0,0.3149834871292114,content,condussero
4944933.0,0.3618296682834625,function,fuori
4962573.0,0.3195852041244507,function,ma
4966101.0,0.3326596021652221,function,al
4971834.0,0.403083324432373,content,momento
4989915.0,0.2863322496414184,function,di
4996530.0,0.3082575500011444,content,ucciderlo
5019021.0,0.3860889077186584,function,ne
5024754.0,0.2988918423652649,content,ebbero
5039307.0,0.3876953125,content,pietà
5064444.0,0.2703667879104614,function,e
5065767.0,0.2681096792221069,function,lo
5070177.0,0.2870344519615173,content,lasciarono
5095296.0,0.3522928357124328,content,andare
5148675.0,0.3524163365364074,function,Poi
5157495.0,0.3237224221229553,content,strapparono
5187465.0,0.3762105703353882,function,a
5189247.0,0.3485655784606933,function,un
5194098.0,0.4703075289726257,content,capriolo
5217471.0,0.3811306357383728,function,gli
5223645.0,0.4099644422531128,content,occhi
5235111.0,0.394761860370636,function,e
5236434.0,0.3349213600158691,function,la
5240844.0,0.3591771125793457,content,lingua
5268186.0,0.2570245862007141,function,e
5269509.0,0.2717967629432678,function,li
5276124.0,0.3086876273155212,content,portarono
5297733.0,0.3025062084197998,function,al
5302584.0,0.4082382321357727,content,vecchio
5323311.0,0.4493212103843689,function,come
5334777.0,0.4507454037666321,content,prova
5346243.0,0.3688095211982727,function,della
5355504.0,0.377730131149292,function,sua
5365206.0,0.3885602056980133,content,morte
