sentence_ids,tokens,lemma,PoS,depparse,head,constituency
2,",",",",PUNCT,punct,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,lo,lo,PRON,obj,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,fa,fare,VERB,conj,Mise,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,ricco,ricco,ADJ,xcomp,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,per,per,ADP,case,vita,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,tutta,tutto,DET,det:predet,vita,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,la,il,DET,det,vita,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,vita,vita,NOUN,obl,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,.,.,PUNCT,punct,Mise,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
3,C',ci,PRON,expl,era,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
