BEGIN,Zipf_freq,type_of_words,word
5509413.0,2.747225731,content,befana
5573799.0,4.226152786,content,robot
5609520.0,3.673796814,content,inventata
5615253.0,6.577812618,function,da
5630247.0,5.728024202,function,qualche
5674347.0,2.232315915,content,malandrino
5682726.0,6.912435835,function,per
5695515.0,5.728024202,function,qualche
5718447.0,4.563282813,content,scopo
5790330.0,2.979798346,content,dannoso
5814585.0,6.072527547,function,allora
5856480.0,2.894214608,content,gridò
5863536.0,7.039560886,function,il
5882940.0,3.587122577,content,traguardo
5885586.0,7.249521761,function,è
5932773.0,4.913927132,function,laggiù
5939388.0,7.055331658,function,la
5952618.0,4.335186004,content,punta
5958351.0,7.232814475,function,di
5968494.0,5.939281839,function,quella
5989221.0,4.365273828,content,montagna
6020973.0,1.588863239,content,rossastra
6026706.0,7.055331658,function,la
6084036.0,5.347199726,content,vedi
6092856.0,2.741151583,function,e
6113142.0,2.622286994,content,puntò
6125931.0,5.193046076,function,verso
6131664.0,7.039560886,function,il
6150627.0,4.094013217,content,monte
6192522.0,3.117779939,content,calamita
6205752.0,6.306603623,function,tutto
6269697.0,3.468532444,content,magnetico
6274107.0,2.741151583,function,e
6292188.0,6.212844009,function,quando
6298803.0,5.104021496,function,fu
6301890.0,7.004335738,function,a
6318648.0,5.16145606,content,mezzo
6355692.0,3.665867565,content,chilometro
6418314.0,1.367014489,content,rallentò
6434631.0,5.384159172,function,mentre
6437718.0,6.640107629,function,l
6451830.0,5.649409994,content,altra
6472998.0,2.747225731,content,befana
6519744.0,2.469676831,content,strillava
6536061.0,4.965586153,content,arrivo
6554583.0,6.042129583,function,prima
6570459.0,4.965586153,content,arrivo
6618087.0,6.042129583,function,prima
6622056.0,2.741151583,function,e
6648075.0,4.752024614,function,infatti
6671448.0,3.97589694,content,arrivò
6715989.0,6.042129583,function,prima
6730101.0,6.042129583,function,prima
6751710.0,6.01813737,function,ancora
6754797.0,7.232814475,function,di
6772878.0,6.212844009,function,quando
6825357.0,4.499487644,content,pensava
6836382.0,5.965637226,function,perché
6842556.0,7.039560886,function,il
6858432.0,4.094013217,content,monte
6900327.0,3.117779939,content,calamita
6905619.0,7.055331658,function,la
6918849.0,3.168646835,content,tirò
6933402.0,5.193046076,function,verso
6936489.0,7.232814475,function,di
6948396.0,4.255006666,function,sé
6952365.0,7.004335738,function,a
6962949.0,6.801817508,function,una
6978825.0,4.657864956,content,tale
7025571.0,4.500872614,content,velocità
7034832.0,7.250456545,function,che
7051590.0,6.212844009,function,quando
7056441.0,6.517126939,function,ci
7069671.0,3.592323771,content,cadde
7098777.0,5.153505635,function,sopra
7107156.0,6.553884221,function,si
7141554.0,1.588863239,content,sparpagliò
7146846.0,6.797274494,function,in
7168896.0,4.848552661,,mille
7186536.0,4.784486182,content,pezzi
7190946.0,7.232814475,function,di
7243425.0,4.024707605,content,metallo
7250481.0,7.250456545,function,che
7276941.0,3.175450543,content,rimasero
7308693.0,2.722402147,content,appiccicati
7317072.0,6.912435835,function,per
7338681.0,5.921350175,function,sempre
7403949.0,4.510341619,function,lassù
7409241.0,2.741151583,function,e
7414974.0,7.055331658,function,la
7430409.0,2.747225731,content,befana
7437906.0,6.797274494,function,in
7459956.0,4.713758544,content,carne
7463484.0,5.795365296,function,ed
7504056.0,4.423665293,content,ossa
7511994.0,6.583110863,function,se
7517286.0,6.201935117,function,ne
7537572.0,3.802115291,content,tornò
7541541.0,7.004335738,function,a
7556976.0,4.45996894,content,volare
7561827.0,6.912435835,function,per
7571529.0,7.039560886,function,il
7605486.0,5.533168209,content,mondo
7613865.0,6.620271703,function,con
7623126.0,7.039560886,function,il
7628859.0,6.051850878,function,suo
7649145.0,5.218048496,content,sacco
7655319.0,7.232814475,function,di
,3.689922594,content,doni
