word,semantic_dissimilarity
l',0.43418970704078674
altra,0.5023044347763062
sbalordita,0.4955812990665436
Una,0.41431042551994324
goccia,0.4376804232597351
che,0.3857981562614441
sale,0.4800015687942505
i,0.4460103511810303
gradini,0.44762271642684937
ripeté,0.44241830706596375
la,0.274350643157959
servetta,0.4330170154571533
e,0.3042970895767212
quasi,0.40143126249313354
si,0.30398404598236084
metteva,0.3750649690628052
a,0.39779651165008545
piangere,0.33222731947898865
sei,0.4999733567237854
matta,0.44529178738594055
imprecò,0.3943937122821808
la,0.2767183780670166
signora,0.3658796548843384
Torna,0.4665735065937042
a,0.4143155813217163
letto,0.39116063714027405
Hai,0.33548057079315186
bevuto,0.3542657196521759
è,0.4026763439178467
un,0.42113006114959717
pezzo,0.4500471353530884
che,0.40904152393341064
al,0.3576289415359497
mattino,0.400759220123291
manca,0.37375742197036743
il,0.3064785599708557
vino,0.3402491807937622
nella,0.36331701278686523
bottiglia,0.414651483297348
Ma,0.4159884452819824
la,0.3527398705482483
ragazzetta,0.5110306143760681
era,0.3551707863807678
già,0.3847428560256958
rincantucciata,0.5067880153656006
sotto,0.34756165742874146
le,0.3205997347831726
coperte,0.3801459074020386
Chissà,0.4767627418041229
che,0.394085168838501
cosa,0.39760512113571167
le,0.35206085443496704
sarà,0.3979695439338684
mai,0.4349675178527832
saltato,0.45246613025665283
in,0.3792824149131775
mente,0.388852059841156
a,0.38625210523605347
quella,0.4231775999069214
stupida,0.4840015470981598
pensava,0.37564533948898315
la,0.33983123302459717
padrona,0.45326438546180725
Ed,0.4724717140197754
ascoltando,0.44557005167007446
involontariamente,0.41312554478645325
anche,0.4051288962364197
lei,0.340243935585022
udì,0.40912824869155884
il,0.30016475915908813
curioso,0.3977627158164978
rumore,0.3369113802909851
Una,0.3713069558143616
goccia,0.39851945638656616
saliva,0.4287150800228119
le,0.40872472524642944
scale,0.3786236643791199
Per,0.38381141424179077
un,0.38079673051834106
istante,0.354481041431427
la,0.2563669681549072
signora,0.40142685174942017
pensò,0.34760501980781555
di,0.33839595317840576
uscire,0.3407214879989624
a,0.3947927951812744
vedere,0.3324713706970215
Ma,0.3791583776473999
che,0.37204641103744507
cosa,0.3947986960411072
mai,0.44947993755340576
avrebbe,0.3631637692451477
potuto,0.36301207542419434
trovare,0.3924446702003479
alla,0.3675520420074463
luce,0.4429782032966614
delle,0.3591829538345337
lampadine,0.39640945196151733
oscurate,0.3667398989200592
Come,0.40758198499679565
rintracciare,0.3991245627403259
una,0.301829993724823
goccia,0.3696308135986328
in,0.31002235412597656
piena,0.44602900743484497
notte,0.3786122500896454
Nei,0.3926352262496948
giorni,0.4201006293296814
successivi,0.3742266297340393
la,0.2726285457611084
voce,0.33843547105789185
si,0.2758607268333435
sparse,0.38879579305648804
lentamente,0.3004942536354065
e,0.312616229057312
adesso,0.38458627462387085
tutti,0.33717823028564453
lo,0.3612957000732422
sanno,0.384313702583313
anche,0.4349657893180847
se,0.40864646434783936
preferiscono,0.42929351329803467
non,0.40142714977264404
parlarne,0.31370553374290466
Ora,0.31970101594924927
molte,0.30491864681243896
orecchie,0.3344607353210449
restano,0.3025834560394287
tese,0.4180242419242859
la,0.4151371717453003
notte,0.3335874080657959
Certe,0.42990806698799133
notti,0.33779704570770264
la,0.3153790235519409
goccia,0.44279634952545166
tace,0.3399777412414551
Altre,0.350899338722229
volte,0.2719841003417969
invece,0.34183865785598755
per,0.323789119720459
lunghe,0.38903242349624634
ore,0.2916111946105957
non,0.3421688675880432
fa,0.38307082653045654
che,0.4878001809120178
spostarsi,0.32229945063591003
Battono,0.402927428483963
i,0.34525322914123535
cuori,0.38994473218917847
allorché,0.3980273902416229
il,0.323627769947052
tenero,0.43050843477249146
passo,0.3656388521194458
sembra,0.294400155544281
toccare,0.3481100797653198
la,0.31745147705078125
soglia,0.3416568338871002
Meno,0.4932689666748047
male,0.4171479642391205
non,0.33078229427337646
si,0.3212776780128479
è,0.33325254917144775
fermata,0.3304104804992676
Eccola,0.4098142385482788
che,0.3058550953865051
si,0.27635657787323
allontana,0.35330450534820557
al,0.33851271867752075
piano,0.392631471157074
di,0.3705528974533081
sopra,0.34556952118873596
Gli,0.3801833391189575
inquilini,0.4414239823818207
dell',0.4081222712993622
ammezzato,0.48470696806907654
pensano,0.3840097188949585
di,0.3963547945022583
essere,0.3259811997413635
ormai,0.38161325454711914
al,0.34400296211242676
sicuro,0.3199423849582672
La,0.3274761438369751
goccia,0.44908416271209717
essi,0.47451239824295044
credono,0.4028661251068115
è,0.292502760887146
già,0.3728417754173279
passata,0.4009140729904175
davanti,0.3763684630393982
alla,0.36954665184020996
loro,0.3056948781013489
porta,0.3662671148777008
Ma,0.40789180994033813
chi,0.4353622794151306
gli,0.39825475215911865
dice,0.40744757652282715
che,0.34762585163116455
nelle,0.38259708881378174
prossime,0.4036065936088562
notti,0.4353458881378174
la,0.3239622712135315
goccia,0.4747816324234009
riprenderà,0.3776242136955261
il,0.3802054524421692
cammino,0.4221264719963074
dal,0.37958812713623047
punto,0.39447301626205444
dove,0.4063420295715332
era,0.3537941575050354
giunta,0.3746705651283264
l',0.42897382378578186
ultima,0.4336472153663635
volta,0.4159736633300781
o,0.3858433961868286
ricomincerà,0.35508039593696594
da,0.41294801235198975
capo,0.42229601740837097
Al,0.40513837337493896
mattino,0.43629273772239685
si,0.3940991759300232
guarda,0.402166485786438
attentamente,0.4192206859588623
la,0.3435528874397278
scala,0.4197983741760254
se,0.46661376953125
mai,0.46996259689331055
sia,0.34296733140945435
rimasta,0.3697459101676941
qualche,0.3605163097381592
traccia,0.34151339530944824
Niente,0.37242642045021057
come,0.40326857566833496
era,0.4337122440338135
prevedibile,0.3733936846256256
Al,0.34973448514938354
mattino,0.4306343197822571
del,0.40977632999420166
resto,0.3845330476760864
chi,0.39985233545303345
prende,0.39392173290252686
più,0.42930781841278076
questa,0.37566500902175903
storia,0.39330172538757324
sul,0.482038676738739
serio,0.3784410357475281
Al,0.3227440118789673
sole,0.42260652780532837
del,0.33483558893203735
mattino,0.3838269114494324
l',0.3425063490867615
uomo,0.3749440908432007
è,0.29374557733535767
forte,0.34773901104927063
anche,0.41218864917755127
se,0.3481648564338684
poche,0.40326493978500366
ore,0.40659505128860474
prima,0.39338773488998413
sbigottiva,0.43271857500076294
Dormire,0.41591677069664
in,0.3501543402671814
una,0.3360377550125122
camera,0.39755702018737793
lontana,0.3996770977973938
dalla,0.41062068939208984
tromba,0.48810839653015137
delle,0.41297197341918945
scale,0.43738222122192383
non,0.3423202633857727
serve,0.38328608870506287
Meglio,0.44193869829177856
sentirlo,0.4038316011428833
il,0.3438277840614319
rumore,0.34964171051979065
Chi,0.3869674801826477
abita,0.3948119282722473
in,0.30860161781311035
quelle,0.39218074083328247
camere,0.7011014223098755
riposte,0.3878574073314667
talora,0.3875121474266052
sguscia,0.43821558356285095
in,0.3252904415130615
silenzio,0.357633113861084
nei,0.2824190855026245
corridoi,0.34292829036712646
e,0.2923676371574402
se,0.3221619129180908
ne,0.40009450912475586
sta,0.2934253215789795
in,0.29408252239227295
anticamera,0.3694474697113037
dietro,0.38143861293792725
la,0.3320576548576355
porta,0.3427763283252716
col,0.4225432872772217
respiro,0.3707977533340454
sospeso,0.3299305737018585
ascoltando,0.3219483196735382
Peggio,0.5514965057373047
ancora,0.49755895137786865
però,0.42494481801986694
se,0.4097559452056885
tutto,0.41443538665771484
è,0.3681459426879883
tranquillo,0.3630101680755615
in,0.3857342004776001
questo,0.44331538677215576
caso,0.37133002281188965
come,0.4906933903694153
escludere,0.4634026288986206
che,0.3700852394104004
appena,0.3763487935066223
tornati,0.4374464750289917
a,0.4457665681838989
coricarsi,0.40025803446769714
proprio,0.41916877031326294
allora,0.3791102170944214
non,0.31931042671203613
cominci,0.42798975110054016
il,0.33708930015563965
rumore,0.4467516839504242
Che,0.5190300941467285
strana,0.4727133512496948
vita,0.4379040598869324
E,0.43674236536026
non,0.4041520953178406
poter,0.42435556650161743
tentare,0.43901878595352173
rimedi,0.42599624395370483
né,0.4450302720069885
trovare,0.33937740325927734
una,0.3721286654472351
spiegazione,0.36235615611076355
E,0.3667733669281006
non,0.35413891077041626
poter,0.36602526903152466
neppure,0.423422634601593
persuadere,0.40075618028640747
gli,0.36853450536727905
altri,0.4296819269657135
delle,0.4102477431297302
altre,0.39986586570739746
case,0.37082210183143616
i,0.33733654022216797
quali,0.30908262729644775
non,0.27722078561782837
sanno,0.32354307174682617
Ma,0.4385092258453369
che,0.3974428176879883
cosa,0.436390221118927
sarebbe,0.44668155908584595
poi,0.40174227952957153
questa,0.35841113328933716
goccia,0.3954056203365326
Si,0.38460004329681396
vorrebbe,0.42435285449028015
simboleggiare,0.4163869321346283
la,0.33690768480300903
morte,0.41136038303375244
o,0.39266031980514526
gli,0.3486195206642151
anni,0.4248078465461731
che,0.4326702952384949
passano,0.3956190049648285
Niente,0.47838544845581055
affatto,0.4368939697742462
è,0.3091498613357544
semplicemente,0.36501622200012207
una,0.3539177179336548
goccia,0.4018446207046509
solo,0.38858938217163086
che,0.34436482191085815
viene,0.40489768981933594
su,0.4791434407234192
per,0.40724557638168335
le,0.3563033938407898
scale,0.36783072352409363
Non,0.38427525758743286
è,0.3018345236778259
uno,0.351041316986084
scherzo,0.38735878467559814
non,0.35553818941116333
ci,0.3992805480957031
sono,0.3482182025909424
doppi,0.42577558755874634
sensi,0.3759367763996124
trattasi,0.4475764036178589
proprio,0.410677433013916
di,0.33558034896850586
una,0.33243197202682495
goccia,0.42554551362991333
d',0.4165870249271393
acqua,0.43557921051979065
a,0.4551381468772888
quanto,0.5302985310554504
è,0.4064507484436035
dato,0.48549383878707886
presumere,0.3988531529903412
che,0.34873855113983154
di,0.41003239154815674
notte,0.4736655354499817
viene,0.3771675229072571
su,0.44566458463668823
per,0.38593119382858276
le,0.3296857476234436
scale,0.39067885279655457
E,0.40652328729629517
perciò,0.48009270429611206
si,0.4087449312210083
ha,0.3654749393463135
paura,0.40436872839927673
