TOKEN,BEGIN,ORT
392.0,8613700.2,chiede
393.0,8629752.6,scusa
394.0,8694888.3,Adele
395.0,8712087.3,non
396.0,8720025.3,ce
397.0,8727390.0,lâ€™
398.0,8729154.0,ha
399.0,8735769.0,piÃ¹
400.0,8746353.0,con
401.0,8754291.0,lei
402.0,8795348.1,Segue
403.0,8811444.6,Flora
404.0,8829569.700000001,ad
405.0,8837595.9,ali
406.0,8849458.8,spiegate
407.0,8904275.1,non
408.0,8914065.3,vede
409.0,8925795.9,lâ€™
410.0,8928177.3,ora
411.0,8941804.2,di
412.0,8945685.0,condividere
413.0,8990226.0,un
414.0,8999487.0,buon
415.0,9012276.0,gelato
416.0,9027270.0,al
417.0,9033444.0,miele
,2741652.9,zampetta
