BEGIN,entropy,type_of_words,word
5839722,7.217110633850098,function,ci
5850747,7.62363338470459,content,fu
5860449,6.619954109191895,function,un
5861772,8.953839302062988,content,momento
5880735,4.010451316833496,function,di
5887791,7.5119853019714355,content,silenzio
5950413,7.204026699066162,function,Ed
5956587,4.403082847595215,content,ecco
5971581,5.672525405883789,function,che
5975550,3.8140716552734375,function,dall'
5986134,5.417962074279785,content,altra
6000687,2.2947232723236084,content,parte
6016122,5.9215087890625,function,del
6027588,7.067380905151367,content,fronte
6049638,7.906877040863037,function,come
6069042,7.852478504180908,function,per
6075657,8.3858642578125,function,un
6082272,7.734618186950684,content,segnale
6129900,6.998263835906982,content,rispose
6164298,6.357210159301758,function,un
6172236,8.528449058532715,content,allegro
6201342,4.497484683990479,content,assordante
6255144,5.784454345703125,content,Din
6276753,3.4121556282043457,function,Don
6298362,2.608020782470703,content,Dan
6353046,4.203248500823975,function,Perché
6364071,7.600875377655029,function,dovete
6379065,9.34503173828125,content,sapere
6415019,4.56160306930542,function,che
6421401,7.83640718460083,content,anche
6432686,6.924237251281738,function,il
6437718,7.5678791999816895,content,comandante
6472116,7.300180435180664,function,dei
6480495,6.618478775024414,content,nemici
6517098,7.823141098022461,function,il
6521949,7.569943904876709,content,Mortesciallo
6563844,7.455435276031494,content,Von
6579279,4.715023994445801,content,Bombonen
6614559,5.059753894805908,content,Sparonen
6651603,4.099008083343506,content,Pestafrakasson
6731424,7.71649694442749,function,aveva
6741690,8.435220718383789,content,avuto
6755238,3.437082290649414,function,l'
6758766,6.014254093170166,content,idea
6782139,3.028120994567871,function,di
6789195,4.621502876281738,content,fabbricare
6811245,5.816844940185547,function,un
6818301,5.342255115509033,content,cannonissimo
6856668,4.718194007873535,function,con
6863724,6.810990810394287,function,le
6871221,3.5059640407562256,content,campane
6899445,4.872411251068115,function,del
6909588,7.980770587921143,function,suo
6916644,5.84532356262207,content,paese
6973092,3.573994398117065,content,Din
6995142,3.046583652496338,function,Dan
7036917,3.084017753601074,content,tuonava
7054134,6.441790580749512,content,adesso
7073640,6.906214237213135,function,il
7080255,6.2355570793151855,function,nostro
7096572,6.504879951477051,content,cannone
7147728,4.499142646789551,content,Don
7186095,4.589143753051758,content,rispondeva
7220934,6.502508163452148,function,quello
7235046,3.882923364639282,function,dei
7240779,5.101487159729004,content,nemici
7307811,6.884427547454834,function,E
7312221,8.198694229125977,function,i
7315308,5.850152492523193,content,soldati
7339563,7.86481237411499,function,dei
7346619,5.372753620147705,function,due
7353675,8.708711624145508,content,eserciti
7399980,5.080127716064453,content,balzavano
7430409,8.049230575561523,function,dalle
7441434,4.241028308868408,content,trincee
7495677,7.799665927886963,function,si
7504056,5.44125509262085,content,correvano
7528456,6.864980697631836,content,incontro
7572852,5.320248126983643,content,ballavano
7598430,6.962656021118164,function,e
7601076,6.501602649688721,content,gridavano
7650468,6.353729248046875,function,Le
7657965,6.48324728012085,content,campane
7690599,7.942716598510742,function,le
7698537,5.659995079040527,content,campane
7759836,5.737215518951416,function,È
7766010,6.21315860748291,content,festa
7799967,6.02509069442749,function,È
7801731,1.452784538269043,content,scoppiata
7829073,4.965228080749512,function,la
7834365,3.7362022399902335,content,pace
7886844,6.4349541664123535,function,Lo
7893900,1.3020018339157104,content,Stragenerale
7925652,6.22000789642334,function,e
7926975,5.05234432220459,function,il
7929180,2.6382391452789307,content,Mortesciallo
7961814,4.640403270721436,content,salirono
7987833,6.484976768493652,function,sulle
8000622,6.638787746429443,function,loro
8010765,6.98121452331543,content,automobili
8048691,4.036917209625244,function,e
8053101,4.513259410858154,content,corsero
8082207,6.149327754974365,content,lontano
8131158,8.221915245056152,function,e
8137332,4.697873115539551,content,consumarono
8176581,7.029609203338623,function,tutta
8192898,2.562818050384521,function,la
8198190,4.963639259338379,content,benzina
8247141,7.816796779632568,function,ma
8251992,7.188511848449707,function,il
8263017,7.713194847106934,content,suono
8279334,5.179897785186768,function,delle
8289918,0.7620529532432556,content,campane
8326962,6.8535685539245605,function,li
8329608,5.370728969573975,content,inseguiva
8365452,7.066579341888428,content,ancora
