BEGIN,entropy,type_of_words,word
1700055.0,4.272061824798584,content,fermo
1719900.0,7.349472999572754,function,ed
1722987.0,3.2295405864715576,content,entrai
1738422.0,4.921586036682129,function,in
1742832.0,5.653515815734863,content,casa
1808541.0,6.172284126281738,function,Dopo
1819125.0,5.487200736999512,content,pranzo
1851759.0,4.005180358886719,content,andai
1864989.0,4.363557815551758,function,a
1867194.0,6.332014083862305,content,dare
1875568.0,6.062407493591309,function,un'
1880424.0,2.218299150466919,content,occhiata
1917027.0,6.16617488861084,function,Non
1924524.0,6.536673545837402,function,si
1929375.0,6.853446960449219,function,era
1935990.0,6.598045349121094,content,mosso
1976121.0,6.472771644592285,function,Allora
1988028.0,3.995450258255005,content,capii
2004786.0,4.079712867736816,function,il
2006991.0,7.3701171875,function,suo
2015811.0,5.545650005340576,content,dramma
2048886.0,6.588523387908936,content,Fuggito
2066967.0,6.397398471832275,function,dalla
2077992.0,6.504385471343994,content,gabbia
2097837.0,5.696185111999512,content,ignorava
2113272.0,5.116664886474609,function,come
2123415.0,7.584983825683594,content,comportarsi
2172366.0,2.0060245990753174,function,nell'
2179422.0,5.254812240600586,content,inaspettata
2211615.0,6.175926208496094,content,libertà
2293641.0,7.313560485839844,function,Mia
2299815.0,1.6624209880828855,content,figlia
2313045.0,6.837380886077881,content,corse
,5.6776533126831055,function,a
2324952.0,7.212854385375977,content,comprare
2346561.0,2.2964208126068115,function,l'
2348766.0,3.369272232055664,content,occorrente
2398599.0,6.183647155761719,function,e
2401245.0,8.130245208740234,function,quando
2416239.0,6.817018032073975,content,tornò
2432556.0,4.940815448760986,function,lo
2435643.0,5.969641208648682,content,infilai
2458134.0,6.091301441192627,function,nella
2469600.0,4.295726776123047,content,nuovissima
2500470.0,5.059196472167969,content,capiente
2521197.0,3.059382915496826,content,gabbia
2550990.0,2.5225718021392822,function,che
2554272.0,7.187553882598877,function,avevamo
2572353.0,7.668871879577637,content,dotato
2591316.0,2.771808385848999,function,di
2597049.0,6.682992935180664,content,acqua
2622186.0,5.192310333251953,function,e
2623509.0,7.767091751098633,function,di
2629242.0,4.8154072761535645,content,mangime
2697597.0,7.025894165039063,function,Il
2703330.0,2.8801960945129395,content,cardellino
2726262.0,7.234652996063232,function,si
2732436.0,4.618448734283447,content,precipitò
,5.698765754699707,function,a
2758455.0,5.843455314636231,content,mangiare
2778741.0,5.910548210144043,function,e
2784033.0,6.99339771270752,function,a
2786238.0,7.027952671051025,content,bere
2815396.0,7.04210090637207,function,Tra
2821959.0,5.793425559997559,function,quelle
2832984.0,4.766714096069336,content,sbarre
2861208.0,7.240764141082764,function,era
,8.205245971679688,function,a
2869587.0,8.865458488464355,function,suo
2881935.0,4.877653121948242,content,agio
2958669.0,7.127143859863281,function,Il
2963520.0,3.898027420043945,content,cardellino
2987775.0,3.860650539398194,content,cantava
3009384.0,6.683085918426514,function,in
3017322.0,7.518654823303223,content,modo
3026583.0,6.531049728393555,content,straordinario
3082590.0,8.443672180175781,function,certe
3097584.0,5.511987209320068,content,volte
3112578.0,7.893033981323242,function,ci
3119634.0,5.432641983032227,content,stupiva
3141243.0,5.321896553039551,function,con
3145653.0,6.378014087677002,function,le
3150945.0,5.1937689781188965,function,sue
3159765.0,5.891025543212891,content,variazioni
3242673.0,7.181762218475342,function,Dopo
3253698.0,5.777260780334473,function,circa
3266046.0,4.492216110229492,function,un
3271338.0,3.438288688659668,content,anno
3282363.0,5.496793270111084,function,che
3285450.0,7.735593318939209,content,stava
3300885.0,8.180800437927246,function,con
3313674.0,4.284470558166504,function,noi
3331314.0,7.565377235412598,function,una
3340134.0,6.223418712615967,content,sera
3350718.0,6.56689977645874,function,mia
3358656.0,2.4565916061401367,content,figlia
3371004.0,6.208809852600098,content,uscì
3384675.0,5.656344890594482,function,sulla
3393936.0,5.579604625701904,content,terrazza
3419073.0,5.070109844207764,function,per
3425688.0,7.245928764343262,content,portare
3443328.0,4.742859363555908,function,dentro
3461850.0,4.5400495529174805,function,la
3466701.0,6.3024187088012695,content,gabbia
3480813.0,8.205978393554688,function,ma
