BEGIN,entropy,type_of_words,word
5034897.0,6.229625701904297,function,un
5042835.0,7.4171552658081055,content,colpo
5061357.0,5.350976467132568,function,di
5066208.0,5.537412643432617,content,vento
5113836.0,7.497165679931641,function,quando
5132358.0,6.353328704833984,content,arriva
5169843.0,7.212987899780273,content,mettiti
5194098.0,6.430367469787598,function,con
5201595.0,4.804191589355469,function,la
5210415.0,6.106853485107422,content,punta
5233347.0,5.732625484466553,function,nella
5246577.0,6.552464485168457,content,direzione
5274801.0,4.8401408195495605,function,dove
5288913.0,7.135947227478027,function,lui
5300820.0,7.397161960601807,content,va
5319342.0,4.665175914764404,function,e
5324193.0,5.915101051330566,content,vedrai
5387256.0,3.741726875305176,function,E
5392107.0,7.276992321014404,function,il
5399163.0,2.8151588439941406,content,piccione
5415921.0,3.469496726989746,function,se
5424300.0,7.111964702606201,function,ne
5428710.0,6.425104141235352,content,andò
5463108.0,6.686574459075928,content,sparendo
5506326.0,7.066453456878662,function,nel
5519115.0,6.909327983856201,content,cielo
5533668.0,5.01915454864502,content,azzurrissimo
5633775.0,2.832930564880371,function,L'
5637113.0,0.1864821314811706,content,ombrellino
5658471.0,4.255554676055908,content,restò
5676552.0,6.995876312255859,function,solo
5743584.0,5.988379001617432,function,Per
5751081.0,5.811135768890381,function,molte
5766075.0,5.150384426116943,content,notti
5796063.0,8.056852340698242,function,si
5804442.0,4.950273036956787,content,allenò
5821641.0,6.255107402801514,function,ad
5826933.0,7.163516044616699,content,aprirsi
5854275.0,5.534121513366699,function,come
5867505.0,6.129767894744873,content,poteva
5915133.0,7.346172332763672,function,ma
,6.500319957733154,function,a
5930127.0,7.7770795822143555,content,fare
5942034.0,3.413629531860352,content,tric
5979960.0,3.492312431335449,function,proprio
6004215.0,6.215026378631592,function,non
6011712.0,3.983519315719605,content,riusciva
6102558.0,6.545510768890381,function,Ma
6110055.0,6.968301773071289,function,una
6118434.0,4.515013217926025,content,mattina
6166503.0,7.517726898193359,function,appena
6185907.0,7.810481548309326,content,sorto
6206634.0,4.468963146209717,function,il
6213690.0,6.253559589385986,content,sole
6259554.0,4.535775184631348,content,sentì
6281604.0,6.490593910217285,content,arrivare
6307623.0,5.417107105255127,function,un
6313774.0,7.16824197769165,content,vento
6341271.0,6.917679309844971,content,forte
6362214.0,2.045780658721924,function,dall'
6375096.0,4.054301261901856,content,Ovest
6461973.0,6.130751132965088,function,Allora
6474762.0,7.075808048248291,content,mise
6487110.0,4.987618446350098,function,la
6493725.0,5.483641147613525,content,punta
6511365.0,5.684532642364502,function,nella
6520626.0,4.724982261657715,content,direzione
6544881.0,2.631941318511963,function,dell'
6556788.0,3.413630485534668,content,Est
6600888.0,7.808862686157227,function,e
6602211.0,7.683440685272217,function,subito
6627348.0,7.619518280029297,function,il
6635286.0,5.796840190887451,content,vento
6666597.0,7.871310710906982,function,lo
6674976.0,4.225435256958008,content,riempì
6697026.0,5.695204257965088,function,da
6703200.0,8.338765144348145,function,sotto
6738921.0,5.899755954742432,function,e
6762294.0,5.418169498443604,content,tric
6799779.0,8.405770301818848,function,lo
6806835.0,8.04080867767334,content,fece
6820506.0,8.62155532836914,content,aprire
6837705.0,5.130311965942383,function,tutto
6900768.0,7.716285705566406,function,e
6902532.0,7.864669799804687,function,quando
6916423.0,6.821610450744629,function,fu
6924141.0,8.500182151794434,function,ben
6932520.0,8.056225776672363,content,aperto
6974415.0,4.966078758239746,function,lo
6982794.0,6.795181274414063,content,prese
7019838.0,7.940771102905273,function,lo
7026012.0,5.131489276885986,content,sollevò
7070553.0,7.439571857452393,function,lo
7076286.0,8.219548225402832,content,portò
7091280.0,5.728731155395508,function,in
7099659.0,4.746808052062988,content,cielo
7127428.0,7.125764846801758,function,e
7134939.0,6.92121171951294,function,via
7151697.0,2.9286670684814453,function,nell'
7160076.0,5.163101673126221,content,azzurro
7234605.0,7.283336639404297,function,e
7243425.0,7.367420673370361,function,poi
7252245.0,6.866476058959961,content,cominciarono
7277382.0,3.2048823833465576,function,ad
7283115.0,5.805354118347168,content,esserci
7306047.0,6.853188514709473,content,nuvole
7351470.0,8.354012489318848,function,e
7354116.0,4.764400959014893,function,l'
7356321.0,0.7700124382972717,content,ombrellino
7377489.0,7.544558048248291,content,arrivò
7395570.0,6.171848297119141,function,sopra
7408800.0,5.1437578201293945,function,un
7417179.0,6.898756980895996,content,paese
7436583.0,7.714853763580322,function,dove
7449372.0,3.649936437606812,content,pioveva
7468776.0,5.407007217407227,function,tanto
7501410.0,6.768780708312988,function,ma
7516845.0,6.655068397521973,function,tanto
7550802.0,6.9124674797058105,function,che
