word,phoneme,phoneme_surprisal
numero,r,0.0016734188674872989
numero,o,0.0634434824165396
uno,u,3.546084741037049
uno,n,0.015983255815962404
uno,o,0.24191306799093515
è,E,5.804593328576689
ne,n,3.6155918798295086
ne,e,5.198373135601503
proteggeva,p,3.1263507832999804
proteggeva,r,1.3960783522159101
proteggeva,o,4.5068041343011815
proteggeva,t,1.6935110200226626
proteggeva,e,1.2407224762558946
proteggeva,ddZ,0.20165545099621182
proteggeva,e,0.044158410993528
proteggeva,v,0.03006423603672808
proteggeva,a,0.1445507145242665
gelosamente,dZ,9.252982434122654
gelosamente,e,3.1430040950551725
gelosamente,l,1.0854999566813335
gelosamente,o,0.05877098095697926
gelosamente,z,0.03016687829678387
gelosamente,a,0.02156011183590517
gelosamente,m,0.01323559784072038
gelosamente,e,-0.0
gelosamente,n,-0.0
gelosamente,t,-0.0
gelosamente,e,-0.0
gli,L,5.683337361324406
gli,i,0.008545417182832447
abitanti,a,0.5489677611519178
abitanti,b,5.856151998729415
abitanti,i,0.06475649853060403
abitanti,t,0.007198148791843638
abitanti,a,0.23027464439389625
abitanti,n,0.059219345346395905
abitanti,t,0.00014782217797338018
abitanti,i,0.0015523125484425216
è,E,9.557854645889382
per,p,3.9327430955910305
per,e,2.3647398569979248
per,r,0.6511224591926538
farlo,f,4.3705517546397035
farlo,a,0.8276657863221167
farlo,r,0.12329431828651362
farlo,l,1.246562441540858
farlo,o,0.7750180362354926
a,a,6.306155276385742
dovere,d,4.87084452848621
dovere,o,2.928265479787424
dovere,v,0.8811374515283891
dovere,e,0.010588702047727378
dovere,r,0.04586156249629295
dovere,e,0.1336225661196924
abbaiava,a,3.558574183851575
abbaiava,bb,4.923843064195384
abbaiava,a,2.6886875101071204
abbaiava,j,4.067947127316773
abbaiava,a,-0.0
abbaiava,v,2.235344708582838
abbaiava,a,0.36345683631268166
con,k,3.054626769138187
con,o,0.8527674204935746
con,n,0.49113502682853455
impegno,i,2.4899192862422956
impegno,m,8.885103898143548
impegno,p,0.08381555297990362
impegno,e,1.5007293001854956
impegno,JJ,1.7333018611026236
impegno,o,0.04967005043022883
ogni,o,5.832758804401103
ogni,JJ,0.6158865030232423
ogni,i,0.03221132156904493
volta,v,3.1520199499721993
volta,O,0.10974231612769236
volta,l,0.0009250913296751043
volta,t,0.006107735885951569
volta,a,0.002628622450275958
che,k,0.5051355810051688
che,e,0.04186280730063209
vedeva,v,4.505136700457941
vedeva,e,1.1040402013349082
vedeva,d,3.1595291851133176
vedeva,e,0.36419630109061907
