BEGIN;surprisal;type_of_words;word
6825357;6.006397724;function;perché
6836382;3.165989161;function;il
6842556;4.876688957;content;Monte
6858432;0.330886632;content;Calamita
6900327;7.970705032;function;la
6905619;21.8660202;content;tirò
6918849;6.059558392;function;verso
6933402;5.699950695;function;di
6936489;9.362963676;function;sé
6948396;8.622638702;function;a
6952365;6.352074623;function;una
6962949;10.38316917;content;tale
6978825;8.556175232;content;velocità
7025571;3.154326916;function;che
7034832;8.533223152;function;quando
7051590;8.861056328;function;ci
7056441;9.733138084;content;cadde
7069671;6.536020279;function;sopra
7098777;11.06846237;function;si
7107156;25.4943428;content;sparpagliò
7141554;4.70879364;function;in
7146846;7.839065552;content;mille
7168896;5.235496044;content;pezzi
7186536;3.106288671;function;di
7190946;4.968784809;content;metallo
7243425;4.250645638;function;che
7250481;11.15800095;content;rimasero
7276941;11.18418694;content;appiccicati
7308693;5.833010197;function;per
7317072;5.587172985;function;sempre
7338681;25.42595482;function;lassù
7407918;3.703324318;function;E
7409241;5.097596645;function;la
7414974;3.129573345;content;Befana
7430409;6.513813496;function;in
7437906;11.42309666;content;carne
7459956;7.521119118;function;ed
7463484;6.811342239;content;ossa
7504056;8.18142128;function;se
7511994;3.325825214;function;ne
7517286;14.36771965;content;tornò
7537572;3.397367954;function;a
7541541;5.145588875;content;volare
7556976;5.839732647;function;per
7565355;4.700318336;function;il
7571529;6.974149704;content;mondo
7605486;6.323318005;function;con
7613865;3.13121891;function;il
7623126;3.114689112;function;suo
7628859;8.826211929;content;sacco
7649145;2.720962524;function;di
7655319;10.35173416;content;doni
