BEGIN,surprisal,type_of_words,word
4327092,0.4335887730121612,function,che
4331061,12.067249298095703,function,nemmeno
4350906,4.381309509277344,function,lei
4365459,3.334693431854248,function,lo
4368105,7.975159645080566,content,ricordava
4457628,33.164642333984375,content,Mamma
4500846,6.496589660644531,function,Come
4513635,6.374839782714844,function,mi
4518927,9.378654479980469,content,chiamo
4538772,9.881245613098145,function,io
4578462,4.714737415313721,content,disse
4595661,9.873123168945312,function,allora
4613301,1.9146902561187744,function,la
4618593,0.3386532962322235,content,bambina
4637428,8.19198226928711,function,a
4640643,7.234584331512451,function,sua
4652550,2.9383904933929443,content,madre
4709880,11.756305694580078,function,Tu
4753980,5.611472129821777,function,Non
4761918,4.342542171478272,content,hai
4768092,7.8748459815979,function,nessun
4790142,0.378720074892044,content,nome
4830714,9.134897232055664,content,disse
4845708,1.850212574005127,function,la
4851882,5.317281723022461,content,mamma
4930821,8.170339584350586,function,La
4937877,1.03859543800354,content,bambina
4955958,13.84974479675293,content,andò
4976685,0.7275472283363342,function,a
4978890,6.472967624664307,content,guardare
5007114,5.48213529586792,function,i
5015052,2.453065633773804,function,suoi
5026959,7.065173625946045,content,libri
5066208,6.494422435760498,function,i
5072823,1.131481051445007,function,suoi
5082966,13.580087661743164,content,quaderni
5142501,3.190091371536255,function,e
5149116,3.959961175918579,content,vide
5160582,1.36681866645813,function,che
5164110,4.969045639038086,function,non
5175576,3.313566207885742,function,c'
5179986,0.2091860473155975,content,era
5187483,4.7965006828308105,function,nessun
5208210,2.468194961547852,content,nome
5270832,10.003430366516112,function,Tu
5310081,19.208837509155277,content,scendi
5326398,5.688570022583008,function,a
5329485,6.835242748260498,content,fare
5341833,17.642234802246094,content,merenda
5393430,30.926013946533203,content,gridò
5410188,1.369285225868225,function,la
5416362,2.177797794342041,content,mamma
5429592,7.407260417938232,function,di
5435766,16.76736068725586,function,sotto
5503239,18.908477783203125,function,la
5509854,4.690297603607178,content,mamma
5538078,6.990590572357178,function,mi
5543370,3.06795072555542,function,ha
5545575,7.05302095413208,function,sempre
5565861,2.726656198501587,content,detto
5581296,4.616067886352539,function,di
5585265,3.2568604946136475,function,non
5594967,9.205735206604004,content,chiamare
5609079,5.40482759475708,function,nessuno
5639508,9.461573600769045,function,con
5643477,3.826817274093628,function,un
5656266,33.396629333496094,function,Tu
5701689,15.605405807495115,function,È
5705658,7.642629623413086,function,perché
5721975,8.508869171142578,function,proprio
5740056,3.3477935791015625,function,io
5749255,9.70149040222168,function,un
5755050,5.466779708862305,content,nome
5766075,4.137458324432373,function,non
5774895,6.466610908508301,function,ce
5782392,0.5593885183334351,function,l'
5784597,7.9044365882873535,content,ho
5821200,13.519535064697266,content,pensò
5838399,8.220047950744629,function,con
5848983,8.247014045715332,content,tristezza
5955264,8.924670219421387,function,Allora
5969817,14.725976943969728,content,piangendo
6009066,2.9631025791168213,function,la
6015240,2.2909512519836426,content,bambina
6034644,7.931995391845703,content,prese
6047874,2.204324245452881,function,la
6053166,6.579051494598389,content,palla
6103881,12.805014610290527,content,andò
6118434,5.524082183837891,function,al
6125490,8.548446655273438,content,giardino
6170472,15.715736389160156,content,arrivò
6188112,9.438702583312988,function,sotto
6205752,3.792909860610962,function,l'
6208398,3.908213615417481,content,albero
6259995,4.607616424560547,function,L'
6261318,22.503273010253903,content,omettino
6289542,4.822093486785889,function,era
6305775,6.630160808563232,function,ancora
6321294,20.41317367553711,function,lassù
6371568,5.898519039154053,function,con
6379065,2.02124571800232,function,la
6386121,5.696238040924072,content,mano
6402438,9.28794765472412,content,chiusa
6436836,2.604487657546997,function,e
6438159,14.15946102142334,content,sorrideva
6517098,23.642501831054688,content,Ridammi
6542235,3.828158378601074,function,il
6543558,3.974796295166016,function,mio
6550614,2.679950714111328,content,nome
6591627,21.599815368652344,content,gridò
6607062,1.3344043493270874,function,la
6612795,3.0082507133483887,content,bambina
6678945,9.854695320129396,function,Ti
