word,semantic_dissimilarity
ancora,0.4379933476448059
faceva,0.44391024112701416
scuro,0.4562445878982544
Mi,0.37308216094970703
piaceva,0.3702760934829712
vedere,0.3595713973045349
spuntare,0.39235642552375793
il,0.2822415232658386
sole,0.3839614987373352
e,0.38624513149261475
mi,0.3636389374732971
piaceva,0.36912375688552856
l',0.3827429711818695
improvviso,0.42024755477905273
accendersi,0.3750215768814087
della,0.308180570602417
caccia,0.3744460940361023
Dalle,0.4571346044540405
parti,0.5329457521438599
nostre,0.401151180267334
si,0.3247331380844116
andavano,0.36510878801345825
a,0.3776471018791199
cacciare,0.4001867175102234
allodole,0.4755506217479706
conigli,0.43408817052841187
e,0.2971550226211548
lepri,0.3855783939361572
I,0.33808958530426025
conigli,0.3145763576030731
bisognava,0.4115080237388611
stanarli,0.4135986566543579
col,0.42022860050201416
furetto,0.3972456455230713
La,0.40610843896865845
tana,0.4770556390285492
del,0.3540912866592407
coniglio,0.3628590703010559
aveva,0.40390443801879883
una,0.3549748659133911
buca,0.36033666133880615
d',0.4050741195678711
ingresso,0.390997052192688
ma,0.3707418441772461
il,0.2602289319038391
coniglio,0.3709052503108978
s',0.420423299074173
approntava,0.4232867956161499
tre,0.3484956622123718
o,0.49431902170181274
quattro,0.382990300655365
buche,0.3306611180305481
d',0.3528026044368744
uscita,0.3800444006919861
scavandole,0.33658885955810547
a,0.31800007820129395
notevole,0.474128782749176
distanza,0.3695394992828369
I,0.34477126598358154
cacciatori,0.41208416223526
una,0.3521064519882202
volta,0.37406760454177856
individuata,0.4004402160644531
la,0.2793750762939453
buca,0.32249224185943604
d',0.3635878264904022
entrata,0.3216341733932495
dovevano,0.322884738445282
scoprire,0.3167206645011902
le,0.2824404835700989
altre,0.3291599452495575
Quando,0.33134257793426514
le,0.32687705755233765
scovavano,0.3299116790294647
si,0.32517367601394653
disponevano,0.3563137650489807
a,0.37001627683639526
guardia,0.3980698585510254
di,0.28400611877441406
queste,0.34644168615341187
uscite,0.3773496747016907
mentre,0.3377039432525635
uno,0.3916231393814087
pigliava,0.35888203978538513
dal,0.44478076696395874
cestino,0.4552655816078186
il,0.2780721187591553
furetto,0.4119681417942047
e,0.266854465007782
lo,0.28154313564300537
faceva,0.2923835515975952
penetrare,0.3452873229980469
nel,0.3148244619369507
labirinto,0.3670864701271057
conigliesco,0.4235294759273529
Il,0.31734931468963623
furetto,0.3834628164768219
è,0.3789386749267578
dotato,0.4160282611846924
di,0.38960933685302734
denti,0.3864131569862366
micidiali,0.438274621963501
nemico,0.38988983631134033
giurato,0.46335703134536743
del,0.30255216360092163
coniglio,0.33137834072113037
Questi,0.38561132550239563
appena,0.45554119348526
lo,0.36572861671447754
vede,0.43793100118637085
entrare,0.4059827923774719
nella,0.4246363639831543
sua,0.3643001914024353
tana,0.37882113456726074
scappa,0.3407015800476074
attraverso,0.3837618827819824
una,0.3408200740814209
delle,0.45114463567733765
uscite,0.34772372245788574
di,0.3793640732765198
sicurezza,0.39756691455841064
dove,0.3619859218597412
trova,0.36996638774871826
però,0.39828312397003174
il,0.3260059952735901
cacciatore,0.38770827651023865
Ma,0.45885998010635376
non,0.44086742401123047
sempre,0.47162312269210815
avviene,0.4099176526069641
così,0.3891482651233673
Certe,0.49173179268836975
volte,0.3664693832397461
il,0.28010785579681396
coniglio,0.41209298372268677
imbocca,0.3954788148403168
una,0.29700905084609985
via,0.3914146423339844
che,0.30194365978240967
porta,0.37130093574523926
a,0.3802069425582886
un',0.3670702576637268
uscita,0.3833346962928772
non,0.40252894163131714
individuata,0.4274500012397766
dai,0.4092862606048584
cacciatori,0.42493146657943726
e,0.3146803379058838
questi,0.43436920642852783
se,0.3180474042892456
ne,0.4520038962364197
accorgono,0.3569023013114929
troppo,0.36021745204925537
tardi,0.3886260390281677
Altre,0.5217056274414062
volte,0.4175640940666199
accade,0.3782067894935608
che,0.3721534311771393
nell',0.4006441533565521
intricata,0.4698263108730316
rete,0.38363468647003174
sotterranea,0.38874146342277527
