BEGIN,semantic_dissimilarity,type_of_words,word
3888738,0.335942804813385,function,del
3900645,0.3359322547912597,content,fronte
3927105,0.300459623336792,function,si
3936366,0.4236987829208374,content,udì
3945627,0.2499692440032959,function,un
3952683,0.3811208605766296,content,gigantesco
3982671,0.4573602676391601,content,scampanio
4032945,0.4372409880161285,content,Din
4054554,0.4092836678028106,content,Don
4075281,0.347162663936615,content,Dan
4111443,0.4053238034248352,function,Noi
4120263,0.3461991548538208,function,ci
4127319,0.3917848467826843,content,levammo
4142754,0.3895797729492187,function,l'
4144518,0.463185042142868,content,ovatta
4159953,0.401333212852478,function,dalle
4171419,0.3817207813262939,content,orecchie
4186854,0.3394645452499389,function,per
4192587,0.4289521276950836,content,sentir
4211991,0.3755542039871216,content,meglio
4258296,0.4208107888698578,content,Din
4279464,0.4275122284889221,content,Don
4297545,0.3652549982070923,function,Dan
4318272,0.4379305839538574,content,tuonava
4336353,0.3301092386245727,function,il
4343409,0.4902557134628296,content,cannonissimo
4398093,0.3769163489341736,function,E
4403826,0.4215171039104461,function,centomila
4434255,0.4394947588443756,content,echi
4466889,0.3873033821582794,content,ripetevano
4495113,0.4258413314819336,function,per
4503933,0.4159790873527527,content,monti
4525101,0.4106783270835876,function,e
4529511,0.4118273854255676,function,per
4536567,0.4127165675163269,content,valli
4565232,0.4468086957931518,content,Din
4587723,0.4090893864631653,content,Don
4608009,0.3564549386501312,content,Dan
4664016,0.3602840304374695,content,Fuoco
4701501,0.4675878286361694,content,gridò
4716054,0.3975629210472107,function,lo
4720905,0.530868649482727,content,Stragenerale
4754421,0.4099976420402527,function,per
4758831,0.4332322478294372,function,la
4765887,0.4937873482704162,content,seconda
4784409,0.376698762178421,content,volta
4817925,0.3871608674526214,content,Fuoco
4839975,0.4833913445472717,content,perbacco
4898187,0.3834519386291504,function,L'
4901274,0.5082331299781799,content,artigliere
4926411,0.4421471357345581,content,premette
4944033,0.3348701596260071,content,nuovamente
4967424,0.2929739356040954,function,il
4975362,0.3873834013938904,content,pulsante
5019462,0.3725624680519104,function,e
5027400,0.4141552448272705,function,di
5033133,0.394910991191864,content,nuovo
5047686,0.3299363851547241,function,un
5055183,0.4201666414737701,content,festoso
5081202,0.3646539449691772,content,concerto
5108544,0.3961043357849121,function,di
5112072,0.3970649838447571,content,campane
5150015,0.375863254070282,function,si
5157936,0.4036511182785034,content,diffuse
5181309,0.5284662842750549,function,di
5186601,0.5755529999732971,content,trincea
5209092,0.5879678130149841,function,in
5216148,0.4063750207424164,content,trincea
5279652,0.4254486262798309,content,Pareva
5294646,0.3479684591293335,function,che
5299497,0.3530901670455932,content,suonassero
5330808,0.3738738298416137,content,insieme
5351094,0.3709229230880737,function,tutte
5363883,0.304449200630188,function,le
5369616,0.3656428456306457,content,campane
5400486,0.4157311916351318,function,della
5410188,0.4466034173965454,function,nostra
5429592,0.3855626583099365,content,patria
5487804,0.4017602205276489,function,Lo
5493978,0.5322896838188171,content,Stragenerale
5525730,0.3610533475875854,function,si
5535432,0.3730493783950805,content,strappava
5554395,0.3891533017158508,function,i
5557041,0.4350489974021911,content,capelli
5578209,0.4056404232978821,function,per
5585265,0.4025788307189941,function,la
5590998,0.3434240818023681,content,rabbia
5621868,0.3150686621665954,function,e
5628924,0.4049085974693298,content,continuò
5649651,0.3502154946327209,function,a
5651415,0.3965183794498443,content,strapparseli
5691105,0.4549233317375183,content,fin
5698602,0.4142907261848449,function,che
5700807,0.4719443321228027,function,gliene
5713596,0.4136313199996948,content,rimase
5733882,0.426128625869751,function,uno
5746230,0.4068795144557953,content,solo
5808852,0.4096633195877075,content,Poi
5839722,0.4034039378166199,function,ci
5850747,0.3828195333480835,content,fu
5860449,0.3089972734451294,function,un
5861772,0.3773917555809021,content,momento
5880735,0.3550719022750854,function,di
5887791,0.3664882481098175,content,silenzio
5950413,0.4115445613861084,function,Ed
5956587,0.3743374347686767,content,ecco
5971581,0.290628433227539,function,che
5975550,0.4176353216171264,function,dall'
5986134,0.4494117498397827,content,altra
6000687,0.4111050367355346,content,parte
6016122,0.3462775945663452,function,del
6027588,0.3896410465240478,content,fronte
6049638,0.4241158962249756,function,come
6069042,0.4545867443084717,function,per
6075657,0.4037124514579773,function,un
6082272,0.3445644378662109,content,segnale
6129900,0.4023391604423523,content,rispose
6164298,0.3273292779922485,function,un
6172236,0.4004397392272949,content,allegro
6201342,0.4105652868747711,content,assordante
6255144,0.4497651159763336,content,Din
6276753,0.4260976612567901,function,Don
6298362,0.3748845756053924,content,Dan
6353046,0.4452247619628906,function,Perché
6364071,0.506165623664856,function,dovete
6379065,0.4645840525627136,content,sapere
6415019,0.3963767886161804,function,che
6421401,0.4118209481239319,content,anche
6432686,0.3527560830116272,function,il
