BEGIN,entropy,type_of_words,word
6476526.0,7.566312313079834,function,e
6478290.0,8.83219051361084,function,non
6487992.0,7.57163667678833,content,trovarono
6509160.0,6.636961460113525,function,il
6514893.0,1.2229925394058228,content,tesoro
6532974.0,3.897677421569824,function,nemmeno
6553260.0,5.192931175231934,function,lì
6608826.0,7.88762903213501,function,però
6619410.0,6.753891944885254,content,trovarono
6646311.0,5.756191253662109,function,dei
6655131.0,6.7530927658081055,content,tuberi
6673653.0,4.805944442749023,content,grossi
6709374.0,7.336813449859619,function,dalla
6721281.0,7.916245460510254,content,pelle
6735834.0,4.619078159332275,content,bruna
6787872.0,7.067935466766357,function,Erano
6799779.0,8.843998908996582,function,così
6816096.0,8.966052055358887,content,belli
6831531.0,4.715299129486084,function,e
6832854.0,9.536776542663574,content,strani
6880041.0,4.275000095367432,function,che
6885804.0,7.154721260070801,function,li
6893712.0,9.359811782836914,content,fecero
6911352.0,7.706143379211426,content,cuocere
6951042.0,7.288290500640869,function,e
6952365.0,9.0687837600708,function,li
6957657.0,5.021426677703857,content,assaggiarono
7025571.0,6.976929187774658,function,e
7030863.0,8.068437576293945,function,li
7038360.0,8.892170906066895,content,trovarono
7064379.0,8.114628791809082,function,così
7087311.0,9.737784385681152,content,buoni
7119658.0,4.793949127197266,function,che
7125678.0,6.950621128082275,function,li
7132734.0,5.669349193572998,content,cucinarono
7165809.0,4.435596942901611,function,in
7170660.0,8.11128044128418,function,molti
7189182.0,5.2943115234375,content,modi
7240779.0,5.880147933959961,content,fritti
7282674.0,6.42993688583374,content,cotti
7322805.0,5.497827529907227,content,arrostiti
7372197.0,9.033111572265623,content,col
7381458.0,5.119306564331055,content,prezzemolo
7429086.0,7.695205211639404,function,a
7434819.0,5.754441738128662,content,pezzetti
7479360.0,7.868945598602295,function,a
7482888.0,4.556405544281006,content,bastoncini
7538895.0,4.131091594696045,content,schiacciati
7613424.0,6.888470649719238,function,E
7616070.0,7.464820384979248,function,così
7633710.0,7.520584106445312,function,i
7635915.0,5.72126579284668,content,pirati
7653555.0,4.428457736968994,content,dimenticarono
7694127.0,5.705499172210693,function,il
7697655.0,0.8592022657394409,content,tesoro
7747047.0,4.477981090545654,function,e
7752780.0,7.133891105651856,content,decisero
7783209.0,2.6799840927124023,function,di
7787178.0,9.129868507385254,content,restare
7805700.0,7.025518894195557,function,su
7813197.0,3.001574277877808,function,quell'
7822899.0,0.1998429149389267,content,isola
7852005.0,5.00689697265625,function,a
7856415.0,8.192643165588379,content,coltivare
7882434.0,5.653300762176514,content,patate
7936236.0,7.951825141906738,function,il
7941969.0,8.048890113830566,content,capitano
7963137.0,8.540891647338867,content,cambiò
7977249.0,5.095314025878906,content,nome
8012088.0,7.972232341766357,function,e
8013411.0,8.60592269897461,function,si
8023554.0,8.600281715393066,content,fece
8035020.0,9.067432403564451,content,chiamare
8072946.0,7.052899360656738,content,Gigi
8095437.0,4.973055362701416,content,Zappatata
