TOKEN;BEGIN;ORT;;BEGIN;ORT;
232;4526424;farsi;;4526424;farsi;VERO
233;4544064;imboccare;;4544064;imboccare;VERO
234;4570524;dalla;;4570524;dalla;VERO
235;4582872;regina;;4582872;regina;VERO
236;4637997;gli;;4604922;Gli;FALSO
237;4642407;invitati;;4637997;invitati;FALSO
238;4670190;si;;4670190;si;VERO
239;4676805;nascondevano;;4676805;nascondevano;VERO
240;4707675;sotto;;4707675;sotto;VERO
241;4719141;il;;4719141;il;VERO
242;4723992;tavolo;;4723992;tavolo;VERO
243;;a;;;a;VERO
244;4742514;ridere;;4742514;ridere;VERO
245;4783086;e;;4783086;e;VERO
246;4788819;il;;4788819;il;VERO
247;4794552;re;;4794552;re;VERO
248;4800285;Mida;;4800285;Mida;VERO
249;4810869;si;;4810869;si;VERO
250;4817925;arrabiò;;4817925;arrabbiò;VERO
251;4871286;ne;;4871286;ne;VERO
252;4876578;acchiapò;;4876578;acchiappò;VERO
253;4897305;uno;;4897305;uno;VERO
254;4923765;e;;4913622;e;FALSO
255;4925088;gli;;4925088;gli;VERO
256;4932144;fece;;4932144;fece;VERO
257;4943610;diventare;;4943610;diventare;VERO
258;4965660;d;;4965660;d;VERO
259;4968747;oro;;4968747;oro;VERO
260;4977567;il;;4977567;il;VERO
261;4982859;naso;;4982859;naso;VERO
262;5015934;così;;5015934;così;VERO
263;5029164;non;;5029164;non;VERO
264;5034897;poteva;;5034897;poteva;VERO
265;5049891;più;;5049891;più;VERO
266;5057388;sofiarselo;;5057388;soffiarselo;VERO
267;5161023;Vene;;5161023;Venne;VERO
268;5174694;l;;5174694;l;VERO
269;5177340;ora;;5177340;ora;VERO
270;5184396;di;;5184396;di;VERO
271;5189688;andare;;5189688;andare;VERO
272;;a;;;a;VERO
273;5206005;dormire;;5206005;dormire;VERO
274;5256720;ma;;5231583;ma;FALSO
275;5263335;il;;5256720;il;FALSO
276;5267304;re;;5267304;re;VERO
277;5273919;Mida;;5273919;Mida;VERO
278;5285826;senza;;5285826;senza;VERO
279;5300820;volerlo;;5300820;volerlo;VERO
280;5319783;toccò;;5319783;toccò;VERO
281;5333013;il;;5333013;il;VERO
282;5336100;cuscino;;5336100;cuscino;VERO
283;5383097;toccò;;5363442;toccò;FALSO
284;5395194;le;;5395194;le;VERO
285;5400927;lenzuola;;5400927;lenzuola;VERO
286;5426505;e;;5426505;e;VERO
287;5428710;il;;5428710;il;VERO
288;5431356;materasso;;5431356;materasso;VERO
289;5496183;diventarono;;5496183;diventarono;VERO
290;5523525;d;;5523525;d;VERO
291;5524848;oro;;5524848;oro;VERO
292;5533227;massiccio;;5533227;massiccio;VERO
293;5576886;ed;;5567184;ed;FALSO
294;5581296;erano;;5581296;erano;VERO
295;5593644;tropo;;5593644;troppo;VERO
296;5609961;duri;;5609961;duri;VERO
297;5623632;per;;5623632;per;VERO
298;5630688;dormirci;;5630688;dormirci;VERO
