BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
865992;31;l;;filo;f i l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
871328;31;o;;filo;f i l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
874371;32;s;;sottile;s o tt i l e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
877811;32;o;;sottile;s o tt i l e;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
889365;32;tt;;sottile;s o tt i l e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
890952;32;i;;sottile;s o tt i l e;;;;;;;;alta;anteriore;v;alta;anteriore;v
898846;32;l;;sottile;s o tt i l e;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
901625;32;e;;sottile;s o tt i l e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
907093;-1;<p:>;;;;;;;;;;;;;;;;
924601;33;i;;il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
930113;33;l;;il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
937169;34;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
940874;34;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
949385;34;kk;;piccolo;p i kk o l o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
950355;34;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
953354;34;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
955823;34;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
956794;35;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
961336;35;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
968304;35;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
980387;35;O;;ragno;r a JJ o;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
982636;-1;<p:>;;;;;;;;;;;;;;;;
989780;36;r;;rimane;r i m a n e;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
998645;36;i;;rimane;r i m a n e;;;;;;;;alta;anteriore;v;alta;anteriore;v
1001291;36;m;;rimane;r i m a n e;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
1001291;36;a;;rimane;r i m a n e;;;;;;;;bassa;centrale;v;bassa;centrale;v
1008038;36;n;;rimane;r i m a n e;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
1012845;36;e;;rimane;r i m a n e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1015976;37;i;;impigliato;i m p i LL a t o;;;;;;;;alta;anteriore;v;alta;anteriore;v
