word,phoneme,phoneme_surprisal
professori,f,0.7037338585290923
professori,e,0.4870052959891936
professori,ss,0.004876041915872218
professori,o,0.212827382794263
professori,r,-0.0
professori,i,0.020138114733481174
gli,L,7.620708522181545
gli,i,0.0154312450237104
mostrò,m,5.395587508125683
mostrò,o,4.2104177306886434
mostrò,s,1.2458404790076185
mostrò,t,0.03380436266017155
mostrò,r,0.001973255391050628
mostrò,O,4.472006874841169
il,i,2.682332845868991
il,l,0.7609744587527146
principe,p,2.9676317535053442
principe,r,1.6494626814159403
principe,i,1.7385855066588194
principe,n,0.5600733882983387
principe,tS,6.157223200892749e-05
principe,i,-0.0
principe,p,-0.0
principe,e,0.18494975226491533
è,E,8.667441300340725
domandò,d,3.916905548998593
domandò,o,2.483248325342062
domandò,m,5.5195382295850814
domandò,a,0.23653628236881033
domandò,n,0.005860498897240966
domandò,d,0.1432451606655631
domandò,O,6.224280385560274
consiglio,k,2.3650014738638623
consiglio,o,1.675928035452293
consiglio,n,2.2745959449940623
consiglio,s,4.413786932183306
consiglio,i,0.06929816522169953
consiglio,LL,0.017588655664302254
consiglio,o,1.8524666204266844
quelli,k,3.2420346932036113
quelli,w,2.7106532500252762
quelli,e,2.3172442943188765
quelli,ll,0.8131221183226475
quelli,i,5.986346188415089
si,s,4.5876060398937994
si,i,4.220723448033739
ritirarono,r,4.270958211249584
ritirarono,i,0.47664478746216704
ritirarono,t,1.9348762718003687
ritirarono,i,0.6025653242018981
ritirarono,r,0.4239749022798166
ritirarono,a,0.07892836614768745
ritirarono,r,3.0127172522126062
ritirarono,o,0.008276636306152002
ritirarono,n,-0.0
ritirarono,o,-0.0
a,a,4.051944274996737
pensare,p,3.0095828502861544
pensare,e,4.8976459578262785
pensare,n,1.4970265227623374
pensare,s,0.12999287457270187
pensare,a,0.062194165863327024
pensare,r,0.015300307274044838
pensare,e,0.73508581779069
poi,p,4.206173101198738
poi,O,3.960621379548017
poi,i,0.3541231045036852
tornarono,t,4.9167211639813395
tornarono,o,2.31272368559939
tornarono,r,0.3105371869458949
tornarono,n,0.057025290006186155
tornarono,a,0.08761326036598488
tornarono,r,1.7894240823947891
tornarono,o,0.720624584488192
tornarono,n,-0.0
tornarono,o,-0.0
dal,d,4.644467639501685
dal,a,1.7372165260535408
dal,l,2.838038830125806
re,r,4.621983720063187
re,e,0.7655805732565354
maestà,m,5.2728100826085145
maestà,a,0.6767594726205121
maestà,e,11.677812714860867
maestà,s,0.19609100094326054
maestà,t,-0.0
maestà,a,9.01572646425469
abbiamo,a,3.6249256413712825
