BEGIN,semantic_dissimilarity,type_of_words,word
2993067.0,0.3785272240638733,function,che
2996595.0,0.4121139049530029,function,sia
3006297.0,0.3902468681335449,content,contento
3045969.0,0.4001789689064026,function,ma
3052161.0,0.3470604419708252,content,contento
3075181.0,0.4372223019599914,function,in
3080826.0,0.4515931010246277,function,tutto
3090969.0,0.4278610944747925,function,e
3096702.0,0.4220780730247497,function,per
3106845.0,0.3443209230899811,function,tutto
3134187.0,0.324965238571167,function,e
3136392.0,0.4037168025970459,content,cambiate
3161467.0,0.394415020942688,function,la
3164616.0,0.4705754518508911,content,camicia
3184461.0,0.3875312209129333,function,di
3189312.0,0.407237708568573,function,vostro
3205188.0,0.4318400025367737,content,figlio
3218859.0,0.4559925198554992,function,con
3223269.0,0.4034693241119385,function,la
3230766.0,0.392419159412384,function,sua
3288113.0,0.48472660779953,function,Quel
3295152.0,0.4899823069572449,content,giorno
3308382.0,0.3958662450313568,content,stesso
3327786.0,0.3212959766387939,function,il
3332637.0,0.4224368333816528,content,Re
3339693.0,0.4317912459373474,content,mandò
3356451.0,0.3131552934646606,function,gli
3361743.0,0.398153156042099,content,ambasciatori
3391731.0,0.3983986377716064,function,per
3397905.0,0.3967368006706238,function,tutto
3412458.0,0.3439375758171081,function,il
3420396.0,0.3512932062149048,content,mondo
3435390.0,0.3475406169891357,function,a
3440241.0,0.3879640102386474,content,cercare
3460086.0,0.4284318387508392,function,l'
3464496.0,0.4198260307312011,content,uomo
3472875.0,0.3956522643566131,content,contento
3513888.0,0.4165782928466797,function,Gli
3522267.0,0.3843877911567688,function,fu
3527559.0,0.4175577759742737,content,condotto
3550173.0,0.2877864837646484,function,un
3556224.0,0.3798411786556244,content,prete
3593783.0,0.4890647530555725,function,Sei
3602088.0,0.4123488068580627,content,contento
3636265.0,0.4017059803009033,function,gli
3644424.0,0.3968042731285095,content,domandò
3662064.0,0.2854578495025635,function,il
3668238.0,0.3646508753299713,content,Re
3706164.0,0.4021890759468078,function,Io
3715866.0,0.4359058737754822,function,sì
3725568.0,0.4439800679683685,content,Maestà
3779811.0,0.3701413869857788,function,Bene
3819060.0,0.4485816359519958,function,Ci
3823029.0,0.5596134662628174,content,avresti
3838905.0,0.4784482717514038,content,piacere
3858692.0,0.4329085350036621,function,a
3860073.0,0.4363169074058532,content,diventare
3879477.0,0.4217290878295898,function,il
3883446.0,0.395926296710968,function,mio
3889620.0,0.3739722967147827,content,vescovo
3932397.0,0.3328667879104614,function,Oh
3940776.0,0.2947585880756378,function,magari
3962385.0,0.3541341722011566,content,Maestà
3999429.0,0.4372576773166656,content,Va'
4010723.0,0.3354732394218445,function,via
4022361.0,0.3367127776145935,function,Fuori
4032945.0,0.4090626835823059,function,di
4040001.0,0.3462960422039032,function,qua
4066461.0,0.3917023539543152,content,Cerco
4079990.0,0.3893072009086609,function,un
4083219.0,0.3944705724716186,content,uomo
4095126.0,0.4140892624855041,content,felice
4111884.0,0.3830073475837707,function,e
4113207.0,0.4068440794944763,content,contento
4136580.0,0.3824211359024048,function,del
4145400.0,0.4072574377059936,function,suo
4151133.0,0.3813753128051758,content,stato
4183767.0,0.3829261064529419,function,non
4195233.0,0.3147886991500854,function,uno
4205817.0,0.3543571829795837,function,che
4210227.0,0.3688695430755615,function,voglia
4224339.0,0.3722313642501831,content,star
4235364.0,0.3571749925613403,function,meglio
4248594.0,0.3705886006355285,function,di
4252563.0,0.4506818354129791,function,com'
,0.399409532546997,function,è
4294899.0,0.4575515985488891,function,E
4302396.0,0.3570611476898193,function,il
4310334.0,0.4470463991165161,content,Re
4327533.0,0.4271003007888794,content,prese
4336353.0,0.4273842573165893,function,ad
4342086.0,0.424686074256897,content,aspettare
4368105.0,0.3335151672363281,function,un
4373397.0,0.318746417760849,function,altro
4426317.0,0.3906719088554382,function,C'
,0.3579686284065246,content,era
4438206.0,0.2512955069541931,function,un
