BEGIN,surprisal,type_of_words,word
7280469.0,12.829052925109863,function,già
7284438.0,6.08421802520752,function,in
7290612.0,13.684041023254396,content,campagna
7347501.0,16.206422805786133,content,Benedetto
7370874.0,17.831626892089844,function,te
7402185.0,10.618081092834473,content,vuoi
7411446.0,4.34513521194458,function,che
7418061.0,4.6514573097229,function,ti
7424235.0,7.6346435546875,content,porti
7437906.0,6.041740894317627,function,con
7445844.0,1.9201985597610476,function,me
7453341.0,8.802901268005371,function,alla
7459515.0,12.602784156799316,content,capitale
7498164.0,13.250335693359377,function,Sarai
7510230.0,10.823837280273438,function,mio
7520814.0,10.39461898803711,content,amico
7564914.0,16.037158966064453,function,Ahi
7575939.0,10.799842834472656,function,ahi
7586964.0,9.545820236206056,content,Maestà
7616070.0,7.448188781738281,function,no
7627095.0,4.2169189453125,function,non
7634151.0,5.992307662963867,function,ci
7639884.0,9.0274658203125,content,penso
7653114.0,11.74985694885254,function,nemmeno
7671636.0,14.25805377960205,function,grazie
7707357.0,4.864147663116455,function,Non
7710885.0,3.694402933120728,function,mi
7716618.0,15.634725570678713,content,cambierei
7733817.0,5.919858932495117,function,neanche
7748370.0,10.327466011047363,content,col
7759395.0,11.730550765991213,content,Papa
7801731.0,3.623005151748657,function,Ma
7808346.0,12.83091163635254,function,perché
7828191.0,8.786908149719238,function,tu
7846272.0,7.533210754394531,function,un
7852446.0,18.00196075439453,function,così
7866999.0,7.693602561950684,content,bel
7876701.0,15.917469024658203,content,giovane
7923888.0,4.820864200592041,function,Ma
7928298.0,6.751550197601318,function,no
7939323.0,10.5499906539917,function,vi
7944615.0,7.270932197570801,content,dico
7961814.0,7.662869930267334,function,Sono
7977249.0,3.703536987304688,content,contento
7999299.0,15.611931800842283,function,così
8013852.0,6.374556064605713,function,e
8018262.0,10.483577728271484,content,basta
8069739.0,21.6338005065918,function,Finalmente
8098294.0,7.765448570251465,function,un
8103816.0,3.529082536697388,content,uomo
8112195.0,10.122060775756836,content,felice
8141301.0,14.979668617248535,content,pensò
8157177.0,1.0518392324447632,function,il
8164515.0,2.305501937866211,content,Re
8203041.0,16.670364379882812,content,Giovane
8218917.0,23.61486053466797,content,senti
8237439.0,13.121973037719728,content,fammi
8247582.0,4.413286209106445,function,un
8252874.0,10.518770217895508,content,piacere
8295818.0,6.605873107910156,function,Se
8304030.0,11.508794784545898,content,posso
8317701.0,7.385116577148437,function,con
8324757.0,6.888551712036133,function,tutto
8335782.0,1.4795544147491455,function,il
8339310.0,3.4651248455047607,content,cuore
8353863.0,13.409120559692385,content,Maestà
8407665.0,8.990561485290527,content,Aspetta
8426513.0,4.933170795440674,function,un
8432802.0,8.40234088897705,content,momento
8466759.0,7.809742450714111,function,e
8469405.0,5.200444221496582,function,il
8479107.0,5.756974697113037,content,Re
8484840.0,3.4083592891693115,function,che
8490573.0,4.164210319519043,function,non
8496306.0,9.538064002990724,content,stava
8509095.0,5.354937553405762,function,più
8516592.0,6.2306413650512695,function,nella
8527617.0,12.204571723937988,content,pelle
8539524.0,11.938631057739258,function,dalla
8549667.0,24.419715881347656,content,contentezza
8583624.0,8.408773422241211,content,corse
