token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
29;3;dov;dove;ADV;advmod;è;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));;5,564019217;function
30;3;è;essere;VERB;ccomp;dire;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));;7,249521761;content
31;3;lo;lo;PRON;obj;fa;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));;6,655915487;function
32;3;fa;fare;VERB;conj;Mise;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));4.40 ± 2.22;6,003549189;content
33;3;ricco;ricco;ADJ;xcomp;fa;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));6.67 ± 2.51;4,420860916;content
34;3;per;per;ADP;case;vita;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));;6,912435835;function
35;3;tutta;tutto;DET;det:predet;vita;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));;5,540385318;function
36;3;la;il;DET;det;vita;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));;7,055331658;function
37;3;vita;vita;NOUN;obl;fa;(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)));6.68 ± 4.78;5,86172088;content
38;4;c;ci;PRON;expl;era;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;6,166704172;function
39;4;era;essere;VERB;root;ROOT;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;6,283626334;content
40;4;un;uno;DET;det;contadino;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;7,065833912;function
41;4;contadino;contadino;NOUN;nsubj;era;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;3,787520326;content
42;4;senza;senza;ADP;case;soldo;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;5,710022415;function
43;4;un;uno;DET;det;soldo;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;7,065833912;function
44;4;soldo;soldo;NOUN;obl;era;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;3,957336077;content
45;4;che;che;PRON;nsubj;sapeva;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;7,250456545;function
46;4;non;non;ADV;advmod;sapeva;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;7,259198169;function
47;4;sapeva;sapere;VERB;acl:relcl;soldo;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;4,895245371;content
48;4;né;né;ADV;advmod;leggere;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;4,735239372;function
49;4;leggere;leggere;VERB;conj;sapeva;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));5.56 ± 1.96;4,718875188;content
50;4;né;né;ADV;advmod;scrivere;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;4,735239372;function
51;4;scrivere;scrivere;VERB;conj;leggere;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));4.76 ± 1.54;4,723868606;content
52;4;e;e;CCONJ;cc;chiamava;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;2,741151583;function
53;4;si;si;PRON;expl;chiamava;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;6,553884221;function
54;4;chiamava;chiamare;VERB;conj;era;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;4,429220298;content
55;4;gàmbara;Gàmbara;PROPN;nsubj;chiamava;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gàmbara)))) (PUNCT .)));;2,447158031;content
56;5;sarà;essere;AUX;cop;difficile;"(ROOT (dirsp (PUNCT "") (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB far) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))";;5,778314248;function
57;5;tanto;tanto;ADV;advmod;difficile;"(ROOT (dirsp (PUNCT "") (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB far) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))";;5,656885745;function
58;5;difficile;difficile;ADJ;root;ROOT;"(ROOT (dirsp (PUNCT "") (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB far) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))";;5,232335655;content
59;5;far;fare;VERB;csubj;difficile;"(ROOT (dirsp (PUNCT "") (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB far) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))";4.40 ± 2.22;5,356330794;content
60;5;l;il;DET;det;astrologo;"(ROOT (dirsp (PUNCT "") (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB far) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))";;6,640107629;function
61;5;astrologo;astrologo;NOUN;obj;far;"(ROOT (dirsp (PUNCT "") (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB far) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))";;2,502677091;content
62;6;si;si;PRON;expl;disse;(ROOT (fc (PUNCT -) (f (ibar (PRON si) (VERB disse))) (PUNCT .)));;6,553884221;function
63;6;disse;dire;VERB;root;ROOT;(ROOT (fc (PUNCT -) (f (ibar (PRON si) (VERB disse))) (PUNCT .)));4.08 ± 1.73;4,869305017;content
64;7;mi;mi;PRON;iobj;provare;"(ROOT (dirsp (PUNCT –) (f (ibar (PRON Mi) (PRON ci) (AUX voglio) (VERB provare))) (PUNCT "") (PUNCT .)))";;6,769601972;function
65;7;ci;ci;PRON;expl;provare;"(ROOT (dirsp (PUNCT –) (f (ibar (PRON Mi) (PRON ci) (AUX voglio) (VERB provare))) (PUNCT "") (PUNCT .)))";;6,517126939;function
66;7;voglio;volere;AUX;aux;provare;"(ROOT (dirsp (PUNCT –) (f (ibar (PRON Mi) (PRON ci) (AUX voglio) (VERB provare))) (PUNCT "") (PUNCT .)))";;6,095946945;function
