word,semantic_dissimilarity
arrivato,0.24127298593521118
un,0.19776946306228638
cavallo,0.22943580150604248
rosso,0.2468433380126953
che,0.18371927738189697
avrebbe,0.32737916707992554
fatto,0.2786211371421814
scoppiare,0.2884884178638458
una,0.1594730019569397
guerra,0.19958609342575073
totale,0.27511686086654663
Poi,0.29464370012283325
un,0.1832904815673828
cavallo,0.23565399646759033
nero,0.21114975214004517
che,0.14065420627593994
avrebbe,0.2893628478050232
portato,0.21589142084121704
fame,0.2068629264831543
e,0.1693800687789917
carestia,0.3563634157180786
anche,0.2260376214981079
in,0.2675110697746277
conseguenza,0.40059584379196167
della,0.1858394742012024
guerra,0.17638447880744934
Di,0.3147585988044739
questi,0.2267441749572754
cavalli,0.2229047417640686
non,0.16408497095108032
c',0.550764262676239
è,0.3296298384666443
stata,0.29586076736450195
traccia,0.2815615236759186
E,0.26108336448669434
non,0.16653990745544434
ci,0.24618422985076904
sono,0.23579877614974976
stati,0.21916460990905762
nemmeno,0.2753070592880249
terremoti,0.25956785678863525
e,0.19147104024887085
piogge,0.3575640320777893
di,0.23533189296722412
meteoriti,0.341156542301178
Però,0.27488231658935547
l',0.48471081256866455
Apocalisse,0.37976133823394775
c',0.48229604959487915
è,0.3343909978866577
stata,0.2536897659301758
È,0.377780556678772
arrivata,0.2647513747215271
così,0.22178590297698975
senza,0.23583310842514038
trombe,0.3613678812980652
del,0.2916761040687561
giudizio,0.3685016632080078
ad,0.3827390670776367
annunciarla,0.26690465211868286
mi,0.24428755044937134
sono,0.2676665186882019
svegliato,0.4657078683376312
una,0.24632805585861206
mattina,0.32716596126556396
e,0.2058659791946411
ho,0.22037315368652344
scoperto,0.19006234407424927
che,0.17271196842193604
mi,0.20652985572814941
faceva,0.3499763011932373
male,0.2602802515029907
tutto,0.23245975375175476
Ogni,0.33665406703948975
movimento,0.3217005431652069
anche,0.36544275283813477
solo,0.30515050888061523
piegare,0.37546506524086
un,0.2269405722618103
dito,0.23454824090003967
mi,0.20476305484771729
faceva,0.3195624351501465
male,0.26951900124549866
Persino,0.5169188976287842
sbattere,0.3064050078392029
le,0.28649085760116577
palpebre,0.31945961713790894
Un,0.3094051480293274
dolore,0.21992963552474976
costante,0.2905399799346924
che,0.16777855157852173
non,0.19155728816986084
ti,0.2383858561515808
abbandona,0.3208022117614746
mai,0.20583784580230713
Camminare,0.3776436746120453
è,0.19796544313430786
